X [],R.RA: EMG 1 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.ES: EMG 2 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.IL: EMG 3 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.Gmax: EMG 4 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.RF: EMG 5 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.BF: EMG 6 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.TA&IO: EMG 7 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.MF: EMG 8 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS []
0.046,0.0288739172,0.0483342127,0.0492677109,0.0024780233,0.0170144951,0.4455676462,0.2439147476,0.0532618690
0.047,0.0262850111,0.0485226502,0.0481769129,0.0024579467,0.0172258553,0.4664536296,0.2434942049,0.0543831715
0.048,0.0241529708,0.0482399940,0.0459953168,0.0023833766,0.0173315354,0.4612321338,0.2371860649,0.0549438227
0.049,0.0243661749,0.0485226502,0.0438137208,0.0023604319,0.0179656159,0.4577511365,0.2422325769,0.0555044740
0.050,0.0260718071,0.0485226502,0.0445409195,0.0023747723,0.0189167368,0.4525296407,0.3074166905,0.0555044740
0.051,0.0262240957,0.0468267129,0.0463589162,0.0023604319,0.0191280970,0.4455676462,0.3440039026,0.0538225202
0.052,0.0260718071,0.0463556192,0.0469043152,0.0025812743,0.0191280970,0.4403461504,0.3448449880,0.0470947052
0.053,0.0271987427,0.0456960880,0.0489041116,0.0027935124,0.0191280970,0.4507891421,0.3503120427,0.0448521002
0.054,0.0274728622,0.0401371825,0.0487223119,0.0027734358,0.0190224169,0.5151875909,0.3465271586,0.0455996352
0.055,0.0265286729,0.0371221829,0.0458135172,0.0026529764,0.0182826562,0.5134470923,0.3427422746,0.0472815890
0.056,0.0267418769,0.0378759328,0.0459953168,0.0024837595,0.0160633742,0.4943016075,0.3406395613,0.0485897752
0.057,0.0266505038,0.0372164016,0.0469043152,0.0025956147,0.0169088150,0.4925611089,0.3435833600,0.0465340540
0.058,0.0266505038,0.0379701515,0.0507221083,0.0028164571,0.0170144951,0.5169280896,0.3313876226,0.0469078215
0.059,0.0266505038,0.0372164016,0.0514493070,0.0029828058,0.0166974548,0.5534785605,0.3187713425,0.0476553565
0.060,0.0263154689,0.0344840582,0.0536309030,0.0030401675,0.0166974548,0.5726240453,0.3280232812,0.0472815890
0.061,0.0265895883,0.0337303083,0.0585394942,0.0033269758,0.0164860946,0.5726240453,0.3688159201,0.0476553565
0.062,0.0276556085,0.0325996834,0.0598120919,0.0032982949,0.0157463340,0.5656620509,0.3847965415,0.0461602865
0.063,0.0276860662,0.0314690586,0.0609028899,0.0032982949,0.0164860946,0.5604405550,0.3927868522,0.0454127515
0.064,0.0252799064,0.0296789025,0.0639934843,0.0033556566,0.0168031349,0.5969910260,0.4184399549,0.0457865190
0.065,0.0258281454,0.0277003090,0.0687202758,0.0034416991,0.0176485756,0.6996804445,0.4457752284,0.0459734027
0.066,0.0267114192,0.0283598402,0.0749014646,0.0036137840,0.0188110567,0.7414524113,0.4457752284,0.0459734027
0.067,0.0257976877,0.0281714027,0.0772648603,0.0036711457,0.0185996965,0.7362309154,0.4457752284,0.0448521002
0.068,0.0244575480,0.0277945278,0.0772648603,0.0036711457,0.0189167368,0.7362309154,0.4541860817,0.0426094952
0.069,0.0232087816,0.0272292153,0.0772648603,0.0037571881,0.0177542557,0.7379714141,0.4499806550,0.0403668902
0.070,0.0212594876,0.0276060903,0.0767194613,0.0038145498,0.0165917747,0.7484144058,0.4020387909,0.0399931227
0.071,0.0210462835,0.0287367152,0.0765376616,0.0037571881,0.0178599358,0.7745218850,0.3826938281,0.0396193552
0.072,0.0209244527,0.0301499962,0.0765376616,0.0035564224,0.0200792178,0.7901863726,0.3965717362,0.0384980527
0.073,0.0197670594,0.0388181201,0.0774466600,0.0033843374,0.0209246585,0.7780028823,0.3932073948,0.0379374014
0.074,0.0190969896,0.0437174945,0.0790828570,0.0033843374,0.0213473789,0.7205664279,0.4247480949,0.0353210289
0.075,0.0184878352,0.0432464008,0.0785374580,0.0034130182,0.0219814595,0.7031614417,0.4962403485,0.0327046564
0.076,0.0186705815,0.0424926509,0.0829006501,0.0034703799,0.0227212201,0.7066424389,0.5130620553,0.0312095864
0.077,0.0188228701,0.0423984322,0.1023532149,0.0033843374,0.0218757794,0.7066424389,0.5425000421,0.0312095864
0.078,0.0189142432,0.0417389010,0.1145337929,0.0032122524,0.0217700993,0.7066424389,0.5971705889,0.0306489351
0.079,0.0195538553,0.0419273385,0.1165335893,0.0030401675,0.0216644192,0.6857564555,0.6181977223,0.0282194464
0.080,0.0195233976,0.0442828070,0.1159881903,0.0030688483,0.0218757794,0.6700919679,0.6139922957,0.0280325626
0.081,0.0190056164,0.0455076506,0.1145337929,0.0027849081,0.0222984998,0.6700919679,0.5929651622,0.0265374926
0.082,0.0176959345,0.0456960880,0.1163517896,0.0027046018,0.0232496206,0.6700919679,0.5845543089,0.0270981439
0.083,0.0192797359,0.0457903068,0.1178061870,0.0026415040,0.0231439405,0.6718324666,0.5803488822,0.0280325626
0.084,0.0196756862,0.0460729630,0.1167153890,0.0025640658,0.0227212201,0.6579084776,0.5677326021,0.0287800976
0.085,0.0175131882,0.0497474938,0.1145337929,0.0027619635,0.0218757794,0.5569595578,0.5719380288,0.0300882839
0.086,0.0192797359,0.0544584307,0.1103524005,0.0029254442,0.0208189785,0.4821181172,0.5845543089,0.0323308889
0.087,0.0239093091,0.0581329615,0.1092616025,0.0031548908,0.0208189785,0.4716751255,0.5845543089,0.0371898664
0.088,0.0241529708,0.0580387427,0.1096252018,0.0033556566,0.0203962581,0.4699346269,0.5845543089,0.0392455877
0.089,0.0241834286,0.0574734303,0.1098070015,0.0032409333,0.0203962581,0.4681941283,0.5803488822,0.0394324714
0.090,0.0244880058,0.0570965554,0.1101706008,0.0031548908,0.0202905780,0.4577511365,0.5803488822,0.0407406577
0.091,0.0247012098,0.0564370242,0.1190787847,0.0031262100,0.0190224169,0.4525296407,0.5761434555,0.0405537739
0.092,0.0248230407,0.0565312429,0.1298049653,0.0031262100,0.0164860946,0.4890801117,0.5719380288,0.0403668902
0.093,0.0260413494,0.0510665561,0.1294413660,0.0031548908,0.0154292937,0.4890801117,0.5719380288,0.0403668902
0.094,0.0263763843,0.0464498379,0.1305321640,0.0032696141,0.0147952131,0.5186685882,0.5551163221,0.0409275414
0.095,0.0263154689,0.0457903068,0.1319865614,0.0033269758,0.0131043316,0.5412950702,0.5046512019,0.0437307977
0.096,0.0259195185,0.0458845255,0.1281687683,0.0032982949,0.0117304904,0.5412950702,0.4920349219,0.0452258677
0.097,0.0260108917,0.0458845255,0.1128975959,0.0032982949,0.0147952131,0.5447760674,0.4541860817,0.0467209377
0.098,0.0261631803,0.0469209316,0.0988990212,0.0033269758,0.0177542557,0.5325925771,0.3852170841,0.0482160077
0.099,0.0265895883,0.0499359313,0.0978082232,0.0033269758,0.0180712960,0.5360735744,0.3482093293,0.0485897752
0.100,0.0265591306,0.0482399940,0.0992626205,0.0032696141,0.0176485756,0.5465165661,0.3456860733,0.0491504265
0.101,0.0269246232,0.0470151504,0.1047166107,0.0032982949,0.0177542557,0.5534785605,0.3419011893,0.0487766590
0.102,0.0267723346,0.0470151504,0.1023532149,0.0032982949,0.0172258553,0.5587000564,0.3406395613,0.0489635427
0.103,0.0285693400,0.0475804628,0.1005352182,0.0032982949,0.0178599358,0.5552190592,0.3347519639,0.0484028915
0.104,0.0300617683,0.0525740559,0.0999898192,0.0032696141,0.0184940164,0.5343330757,0.3259205679,0.0476553565
0.105,0.0300922260,0.0573792116,0.0996262199,0.0032122524,0.0183883363,0.5238900840,0.2847073864,0.0469078215
0.106,0.0279601857,0.0569081179,0.1007170179,0.0031262100,0.0183883363,0.5238900840,0.2535872290,0.0452258677
0.107,0.0243357172,0.0545526494,0.1021714153,0.0028307975,0.0183883363,0.5221495854,0.2434942049,0.0409275414
0.108,0.0265286729,0.0543642120,0.1019896156,0.0025698020,0.0183883363,0.5221495854,0.2363449796,0.0388718202
0.109,0.0271073695,0.0544584307,0.1027168143,0.0025554615,0.0184940164,0.5204090868,0.2329806382,0.0386849364
0.110,0.0269246232,0.0573792116,0.1041712117,0.0026099551,0.0184940164,0.5134470923,0.2350833516,0.0386849364
0.111,0.0270159964,0.0604884299,0.0956266271,0.0025927466,0.0187053766,0.4803776186,0.2447558329,0.0420488439
