[Data],,,,
,Trunk Angle,R.Hip Angle,R.Knee Angle,Ankle Angle
,Trunk Angle,R.Hip Angle,R.Knee Angle,Ankle Angle
Index,Series,,,Series
130,6.755652,16.071352,-1.276845,-6.776993
131,6.755734,16.073416,-1.279946,-6.773346
132,6.75415,16.07243,-1.281883,-6.768578
133,6.753731,16.072855,-1.284783,-6.76403
134,6.756994,16.078722,-1.290199,-6.75946
135,6.763132,16.089283,-1.297298,-6.753761
136,6.769495,16.100323,-1.302863,-6.746376
137,6.772007,16.105228,-1.303204,-6.737869
138,6.768878,16.100861,-1.297696,-6.729958
139,6.761454,16.089678,-1.289433,-6.724159
140,6.753356,16.077646,-1.282358,-6.721436
141,6.748199,16.069899,-1.278595,-6.722496
142,6.747889,16.06814,-1.277313,-6.726486
143,6.752556,16.071968,-1.276982,-6.731445
144,6.761166,16.080233,-1.277212,-6.736435
145,6.770551,16.090311,-1.279024,-6.741798
146,6.777212,16.098318,-1.281962,-6.746376
147,6.778322,16.100124,-1.283692,-6.747559
148,6.774449,16.095207,-1.281704,-6.743538
149,6.769002,16.086996,-1.276045,-6.735245
150,6.766141,16.08111,-1.269991,-6.726021
151,6.766879,16.079727,-1.265992,-6.718445
152,6.770784,16.08219,-1.264017,-6.713257
153,6.776367,16.08572,-1.262666,-6.711136
154,6.78214,16.088079,-1.2611,-6.713509
155,6.786325,16.088371,-1.259579,-6.721611
156,6.78712,16.08703,-1.258383,-6.734818
157,6.782863,16.084856,-1.257094,-6.749413
158,6.77182,16.081739,-1.254823,-6.760101
159,6.75313,16.07662,-1.251994,-6.764091
160,6.728834,16.068962,-1.25029,-6.76252
161,6.705409,16.060999,-1.251317,-6.758385
162,6.69062,16.056723,-1.255626,-6.754143
163,6.689227,16.059147,-1.262676,-6.750458
164,6.699776,16.068449,-1.27224,-6.747459
165,6.715365,16.08152,-1.283358,-6.745567
166,6.729006,16.094374,-1.294408,-6.745392
167,6.737543,16.104397,-1.304015,-6.747482
168,6.739056,16.109983,-1.312759,-6.752815
169,6.733101,16.111732,-1.321618,-6.761566
170,6.722207,16.111834,-1.330846,-6.771996
171,6.71225,16.114143,-1.341533,-6.781166
172,6.708792,16.121714,-1.355324,-6.786606
173,6.714558,16.134081,-1.371168,-6.787491
174,6.727432,16.148243,-1.386074,-6.785454
175,6.74071,16.159996,-1.397237,-6.783127
176,6.747811,16.166498,-1.404087,-6.782143
177,6.747276,16.166908,-1.406444,-6.781281
178,6.743432,16.162872,-1.403872,-6.778336
179,6.741199,16.157309,-1.397881,-6.774094
180,6.74117,16.15336,-1.393797,-6.772285
181,6.741221,16.15316,-1.396954,-6.775276
182,6.739772,16.156548,-1.40759,-6.781769
183,6.738165,16.162376,-1.420974,-6.789253
184,6.7375,16.16877,-1.431758,-6.795738
185,6.737938,16.174582,-1.437844,-6.799797
186,6.739321,16.179869,-1.44058,-6.800163
187,6.741966,16.186085,-1.442943,-6.79705
188,6.746086,16.194702,-1.447309,-6.793373
189,6.751318,16.205446,-1.45308,-6.79142
190,6.756803,16.215721,-1.456503,-6.790359
191,6.761245,16.222458,-1.454704,-6.789116
192,6.763819,16.225037,-1.448799,-6.788177
193,6.764714,16.224842,-1.441376,-6.786331
194,6.764966,16.224129,-1.434793,-6.781181
195,6.765629,16.225088,-1.432095,-6.773811
196,6.767473,16.229099,-1.436133,-6.769096
197,6.770789,16.236029,-1.446596,-6.77121
198,6.775238,16.244022,-1.459553,-6.780327
199,6.780585,16.251213,-1.470122,-6.792786
200,6.786116,16.255892,-1.474465,-6.802826
201,6.791264,16.25737,-1.471317,-6.806175
202,6.795412,16.255842,-1.46247,-6.803078
203,6.798891,16.252878,-1.451376,-6.797775
204,6.801862,16.249975,-1.44134,-6.79467
205,6.803866,16.247995,-1.434968,-6.795502
206,6.804331,16.247751,-1.43484,-6.80011
207,6.803013,16.249491,-1.441621,-6.807259
208,6.800707,16.253199,-1.453833,-6.815681
209,6.799241,16.259174,-1.468959,-6.824165
210,6.801279,16.268463,-1.484134,-6.832085
211,6.807055,16.281153,-1.497074,-6.839439
212,6.812728,16.295641,-1.507358,-6.845833
213,6.812139,16.309515,-1.516359,-6.850136
214,6.80087,16.319828,-1.52438,-6.850922
215,6.780174,16.324249,-1.530656,-6.848015
216,6.757849,16.323393,-1.534509,-6.842995
217,6.741157,16.320639,-1.537052,-6.838249
218,6.731606,16.319216,-1.539907,-6.835396
219,6.727639,16.32073,-1.543839,-6.835091
220,6.727905,16.324587,-1.548003,-6.836967
221,6.732452,16.330406,-1.551242,-6.840042
222,6.73904,16.337038,-1.553614,-6.843376
223,6.744529,16.343369,-1.555818,-6.845993
224,6.747771,16.349556,-1.55814,-6.846275
225,6.748945,16.35515,-1.56,-6.843033
226,6.749706,16.35985,-1.560771,-6.836235
227,6.751905,16.362871,-1.560424,-6.827469
228,6.757858,16.363003,-1.558865,-6.819885
229,6.77024,16.359629,-1.555436,-6.816437
230,6.78955,16.35314,-1.549597,-6.817566
231,6.813015,16.345654,-1.541805,-6.821426
232,6.835488,16.339449,-1.533042,-6.825752
233,6.853325,16.336159,-1.524484,-6.829315
234,6.866254,16.33606,-1.516727,-6.831474
235,6.875439,16.337971,-1.51028,-6.831985
236,6.882353,16.3407,-1.505927,-6.831978
237,6.886735,16.34247,-1.503814,-6.833473
238,6.888579,16.342192,-1.502461,-6.836983
239,6.888743,16.34009,-1.499825,-6.840881
240,6.889481,16.338449,-1.495554,-6.844261
241,6.893511,16.340471,-1.490939,-6.848198
242,6.90019,16.345474,-1.486895,-6.85321
243,6.906871,16.349892,-1.483104,-6.857162
244,6.910328,16.349289,-1.478829,-6.856865
245,6.910635,16.342661,-1.473635,-6.850372
246,6.909921,16.332619,-1.467696,-6.837128
247,6.910712,16.32342,-1.461535,-6.818695
248,6.913757,16.317963,-1.456161,-6.799721
249,6.919497,16.318054,-1.452844,-6.786095
250,6.928199,16.324661,-1.452182,-6.781403
251,6.939834,16.337088,-1.453,-6.785034
252,6.951978,16.352013,-1.454279,-6.7939
253,6.95986,16.364464,-1.45679,-6.805016
254,6.959693,16.371223,-1.462586,-6.816261
255,6.951134,16.371819,-1.472301,-6.825684
256,6.937614,16.367289,-1.483729,-6.8321
257,6.924597,16.359867,-1.493746,-6.836006
258,6.914982,16.351723,-1.501381,-6.838615
259,6.908644,16.345753,-1.508886,-6.84082
260,6.903375,16.343025,-1.518108,-6.843132
261,6.895708,16.341177,-1.528536,-6.845901
262,6.884864,16.337986,-1.537781,-6.848442
263,6.87384,16.333706,-1.543835,-6.849152
264,6.867863,16.330801,-1.545785,-6.846672
265,6.868393,16.329805,-1.543879,-6.841423
266,6.872887,16.329254,-1.539006,-6.835762
267,6.876326,16.326818,-1.53289,-6.832016
268,6.876222,16.322544,-1.527387,-6.829849
269,6.872691,16.317629,-1.523266,-6.827026
270,6.865036,16.312214,-1.52102,-6.823692
271,6.849905,16.303877,-1.52107,-6.822578
272,6.824619,16.289402,-1.522562,-6.824913
273,6.79216,16.268942,-1.524084,-6.828743
274,6.758423,16.244757,-1.524729,-6.831184
275,6.727962,16.218594,-1.523631,-6.830963
276,6.701348,16.190069,-1.519386,-6.827805
277,6.677872,16.159849,-1.51201,-6.821465
278,6.65867,16.132296,-1.503465,-6.812012
279,6.646749,16.1133,-1.495639,-6.80101
280,6.643164,16.105154,-1.489041,-6.791595
281,6.645215,16.104904,-1.483643,-6.786453
282,6.650074,16.108709,-1.479371,-6.78582
283,6.657027,16.115089,-1.476412,-6.78746
284,6.666383,16.123524,-1.474477,-6.788925
285,6.677453,16.132597,-1.472673,-6.789024
286,6.690501,16.142294,-1.470588,-6.788208
287,6.705006,16.152058,-1.468576,-6.787743
288,6.718616,16.159115,-1.467387,-6.789497
289,6.728778,16.161102,-1.467289,-6.794479
290,6.73506,16.159166,-1.467758,-6.801743
291,6.739578,16.157084,-1.468488,-6.809265
292,6.745211,16.157682,-1.469229,-6.81498
293,6.751625,16.159792,-1.469293,-6.81813
294,6.758535,16.161375,-1.46782,-6.819847
295,6.768734,16.162462,-1.464909,-6.822006
296,6.785163,16.164444,-1.461688,-6.826561
297,6.806152,16.168139,-1.459783,-6.834496
298,6.82651,16.172678,-1.459673,-6.84304
299,6.842474,16.176258,-1.459542,-6.846313
300,6.853867,16.177891,-1.457338,-6.840729
301,6.86232,16.177025,-1.451504,-6.827255
302,6.86977,16.174227,-1.442124,-6.81002
