X [],R.RA: EMG 1 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.ES: EMG 2 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.IL: EMG 3 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.GMax: EMG 4 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.RF: EMG 5 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.BF: EMG 6 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.TA&IO: EMG 7 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS [],R.MF: EMG 8 (from NSF1.1_Back_Tuck_Somersault_Rep_1.5) ->Filter->RMS []
0.51,9.24154E-06,8.32967E-06,1.74386E-05,1.04539E-05,2.00305E-05,6.35694E-05,3.45837E-05,0.000167368
0.511,1.03975E-05,7.78565E-06,1.75002E-05,1.19432E-05,1.96905E-05,6.81868E-05,3.5452E-05,0.000162344
0.512,1.08488E-05,6.98302E-06,1.78697E-05,1.28061E-05,1.92022E-05,7.03455E-05,3.59449E-05,0.00016205
0.513,1.09108E-05,6.88854E-06,1.75316E-05,1.30773E-05,1.98197E-05,6.96935E-05,3.78781E-05,0.000162644
0.514,1.09694E-05,7.13564E-06,1.73594E-05,1.31144E-05,2.03701E-05,6.68148E-05,3.80267E-05,0.000163213
0.515,1.11692E-05,7.22112E-06,1.73595E-05,1.30136E-05,1.99277E-05,6.28994E-05,3.82836E-05,0.000163705
0.516,1.12257E-05,7.0027E-06,1.73265E-05,1.25812E-05,1.88301E-05,5.92877E-05,3.85312E-05,0.000160991
0.517,1.13253E-05,6.95905E-06,1.71494E-05,1.21298E-05,1.79585E-05,5.72224E-05,4.45582E-05,0.000159955
0.518,1.1644E-05,6.89088E-06,1.71503E-05,1.16921E-05,1.76103E-05,5.64504E-05,5.02985E-05,0.000168002
0.519,1.18386E-05,6.85064E-06,1.65234E-05,1.12659E-05,1.71771E-05,5.64636E-05,5.20738E-05,0.000179618
0.52,1.18303E-05,6.74814E-06,1.47804E-05,1.10377E-05,1.63165E-05,5.68474E-05,5.21565E-05,0.000185218
0.521,1.1769E-05,6.32669E-06,1.47443E-05,1.10296E-05,1.55613E-05,5.74318E-05,5.23284E-05,0.000187294
0.522,1.16762E-05,5.78375E-06,1.44155E-05,1.10405E-05,1.60646E-05,5.80019E-05,5.1596E-05,0.000187834
0.523,1.11034E-05,5.80018E-06,1.46226E-05,1.10085E-05,1.7597E-05,5.83274E-05,5.24963E-05,0.000182055
0.524,1.03467E-05,5.87399E-06,1.3859E-05,1.10857E-05,1.80375E-05,5.87479E-05,5.4588E-05,0.000170885
0.525,9.97835E-06,5.79627E-06,1.37167E-05,1.14229E-05,1.79826E-05,5.94713E-05,5.91168E-05,0.000158889
0.526,9.59349E-06,5.81974E-06,1.22691E-05,1.20013E-05,1.77616E-05,5.96259E-05,6.43168E-05,0.000146615
0.527,9.19125E-06,5.8336E-06,1.10036E-05,1.26537E-05,1.76341E-05,5.85212E-05,6.5316E-05,0.000136534
0.528,9.1357E-06,5.74127E-06,1.09773E-05,1.30548E-05,1.74033E-05,5.61051E-05,6.51807E-05,0.000134293
0.529,9.12567E-06,5.6732E-06,1.13225E-05,1.31527E-05,1.70414E-05,5.18219E-05,6.53105E-05,0.000136707
0.53,8.53078E-06,5.62222E-06,1.2144E-05,1.24218E-05,1.67021E-05,4.55569E-05,6.60149E-05,0.000144773
0.531,7.16108E-06,5.75629E-06,1.23963E-05,1.11029E-05,1.60705E-05,3.82461E-05,6.65944E-05,0.000150936
0.532,6.37976E-06,5.80944E-06,1.20676E-05,1.0159E-05,1.51475E-05,3.31937E-05,6.69179E-05,0.000153944
0.533,6.22763E-06,5.43597E-06,1.21254E-05,9.8448E-06,1.39353E-05,3.11825E-05,6.71885E-05,0.000154444
0.534,6.17472E-06,5.01847E-06,1.06661E-05,9.73073E-06,1.38096E-05,3.11111E-05,6.89315E-05,0.000156917
0.535,6.45308E-06,4.63915E-06,1.07766E-05,9.51374E-06,1.39903E-05,3.10762E-05,7.10615E-05,0.000159827
0.536,8.06316E-06,4.24894E-06,1.1567E-05,9.2888E-06,1.40623E-05,3.05482E-05,7.18557E-05,0.000162023
0.537,9.45429E-06,4.28052E-06,1.3564E-05,9.23448E-06,1.41616E-05,2.94671E-05,6.81455E-05,0.00016062
0.538,9.3396E-06,4.71899E-06,1.56209E-05,9.23286E-06,1.47092E-05,2.74264E-05,6.42999E-05,0.000150822
0.539,9.03982E-06,4.90253E-06,1.57406E-05,9.26929E-06,1.47096E-05,2.52025E-05,6.43305E-05,0.000135721
0.54,8.79842E-06,4.67763E-06,1.6054E-05,9.38597E-06,1.49488E-05,2.34559E-05,6.46207E-05,0.000128156
0.541,8.96316E-06,4.58767E-06,1.60866E-05,1.02198E-05,1.46523E-05,2.18611E-05,6.56759E-05,0.000123596
0.542,1.00186E-05,4.91484E-06,1.60821E-05,1.21227E-05,1.32824E-05,2.0369E-05,6.82879E-05,0.000123477
0.543,1.048E-05,5.42766E-06,1.60864E-05,1.34139E-05,1.13654E-05,1.92709E-05,6.93199E-05,0.00012606
0.544,1.04308E-05,5.41477E-06,1.72069E-05,1.33099E-05,1.09904E-05,1.78997E-05,6.78629E-05,0.000125037
0.545,1.04154E-05,5.66026E-06,1.81004E-05,1.28825E-05,1.1364E-05,1.52672E-05,6.44622E-05,0.000131339
0.546,1.04713E-05,5.87141E-06,1.78308E-05,1.23314E-05,1.14902E-05,1.26939E-05,5.8653E-05,0.000139109
0.547,1.07141E-05,5.98553E-06,1.79935E-05,1.16608E-05,1.17483E-05,1.1267E-05,5.62737E-05,0.000142709
0.548,1.10057E-05,5.98363E-06,1.80573E-05,1.13054E-05,1.20071E-05,1.09729E-05,5.60846E-05,0.000142905
0.549,1.13498E-05,6.11115E-06,1.79378E-05,1.1249E-05,1.24241E-05,1.10505E-05,5.60543E-05,0.000140886
0.55,1.15196E-05,6.37308E-06,1.73969E-05,1.12279E-05,1.44137E-05,1.10584E-05,5.51229E-05,0.000134045
0.551,1.1552E-05,6.28042E-06,1.71536E-05,1.11349E-05,1.53815E-05,1.10753E-05,5.30126E-05,0.000132685
0.552,1.16715E-05,6.31667E-06,1.6889E-05,1.12005E-05,1.54581E-05,1.07939E-05,5.11161E-05,0.000135755
0.553,1.18911E-05,6.49073E-06,1.67098E-05,1.1392E-05,1.55761E-05,1.00001E-05,5.05634E-05,0.000140402
0.554,1.19283E-05,6.47352E-06,1.65979E-05,1.15709E-05,1.49202E-05,9.23898E-06,4.92629E-05,0.000142577
0.555,1.15948E-05,6.38538E-06,1.6406E-05,1.17619E-05,1.46232E-05,8.71655E-06,4.59365E-05,0.000139246
0.556,1.0416E-05,6.35544E-06,1.55367E-05,1.19063E-05,1.52139E-05,8.26816E-06,4.32103E-05,0.000136215
0.557,9.16063E-06,6.31589E-06,1.38285E-05,1.19801E-05,1.54907E-05,7.61169E-06,4.40899E-05,0.000135726
0.558,8.91414E-06,5.9977E-06,1.15734E-05,1.20635E-05,1.49565E-05,7.32717E-06,4.60675E-05,0.000136698
0.559,8.94672E-06,5.76272E-06,1.14924E-05,1.21087E-05,1.49875E-05,7.34157E-06,4.4813E-05,0.000136861
0.56,8.97237E-06,5.75645E-06,1.10602E-05,1.20543E-05,1.47799E-05,7.87733E-06,4.45414E-05,0.000136781
0.561,8.76197E-06,5.87655E-06,1.08545E-05,1.14017E-05,1.4752E-05,1.16945E-05,4.42815E-05,0.000136637
0.562,7.52563E-06,5.88651E-06,1.09084E-05,9.36661E-06,1.46853E-05,1.71712E-05,4.40257E-05,0.000127928
0.563,6.73785E-06,5.42692E-06,1.11735E-05,7.18854E-06,1.44362E-05,2.00666E-05,4.15735E-05,0.000118301
0.564,6.71151E-06,5.52373E-06,9.73646E-06,6.65584E-06,1.41462E-05,2.06767E-05,4.09581E-05,0.00011742
0.565,6.723E-06,5.40243E-06,9.40149E-06,6.6498E-06,1.45298E-05,2.20186E-05,4.00035E-05,0.000110575
0.566,6.62502E-06,5.21646E-06,1.0507E-05,6.64834E-06,1.48836E-05,2.78443E-05,3.94439E-05,0.000101056
0.567,6.38606E-06,5.1047E-06,1.01483E-05,6.6469E-06,1.455E-05,3.48061E-05,3.95709E-05,9.60322E-05
0.568,6.14177E-06,5.11237E-06,1.00067E-05,6.53174E-06,1.4321E-05,3.96343E-05,3.9488E-05,9.64339E-05
0.569,5.811E-06,4.93967E-06,9.87331E-06,6.31997E-06,1.37953E-05,4.16243E-05,3.93562E-05,9.83344E-05
0.57,5.67689E-06,4.57089E-06,9.88204E-06,6.24634E-06,1.22789E-05,4.17866E-05,3.95665E-05,9.82908E-05
0.571,5.52057E-06,4.49359E-06,9.68949E-06,6.27748E-06,1.2262E-05,4.29096E-05,3.96263E-05,8.93769E-05
0.572,5.34741E-06,4.32714E-06,9.63469E-06,6.05552E-06,1.27449E-05,4.63587E-05,3.88654E-05,7.87761E-05
0.573,5.03453E-06,3.96678E-06,9.63748E-06,5.63739E-06,1.26044E-05,5.25763E-05,3.71307E-05,6.76805E-05
0.574,5.14944E-06,3.81392E-06,9.63558E-06,5.32188E-06,1.26015E-05,5.79866E-05,3.55365E-05,6.16044E-05
0.575,5.10848E-06,3.8257E-06,9.61612E-06,5.10586E-06,1.26577E-05,6.24591E-05,3.49885E-05,6.62649E-05
0.576,5.06455E-06,3.89011E-06,9.62193E-06,4.85496E-06,1.20949E-05,6.39883E-05,3.49551E-05,6.62915E-05
0.577,4.91211E-06,4.02506E-06,9.59152E-06,4.66892E-06,1.17014E-05,6.41041E-05,3.37152E-05,6.6632E-05
0.578,4.86292E-06,4.0459E-06,9.41196E-06,4.45679E-06,1.17061E-05,6.68121E-05,3.04597E-05,6.59124E-05
0.579,4.85583E-06,4.24917E-06,9.29588E-06,4.1818E-06,1.20596E-05,7.32967E-05,2.9227E-05,6.55913E-05
0.58,4.90775E-06,4.33615E-06,9.24875E-06,3.72929E-06,1.23568E-05,7.83029E-05,2.90071E-05,6.5391E-05
0.581,4.98937E-06,4.1982E-06,9.30342E-06,3.50849E-06,1.2666E-05,8.18041E-05,2.63136E-05,6.46215E-05
0.582,4.99489E-06,3.77249E-06,9.26845E-06,3.52919E-06,1.31967E-05,8.36137E-05,1.86483E-05,6.47879E-05
0.583,4.99716E-06,3.67838E-06,8.67527E-06,3.51752E-06,1.39026E-05,8.38323E-05,1.4149E-05,6.71103E-05
0.584,4.97979E-06,3.43247E-06,8.15719E-06,3.51608E-06,1.43655E-05,8.39151E-05,1.39407E-05,6.742E-05
0.585,4.99417E-06,3.28847E-06,7.14967E-06,3.57901E-06,1.39627E-05,8.63862E-05,1.46309E-05,6.71239E-05
0.586,4.97591E-06,3.14029E-06,6.71218E-06,3.83162E-06,1.35568E-05,8.95745E-05,1.54907E-05,6.84E-05
0.587,4.88602E-06,3.048E-06,7.12857E-06,3.95644E-06,1.35833E-05,9.15422E-05,1.57057E-05,7.25353E-05
0.588,5.06351E-06,3.05408E-06,7.0419E-06,3.9196E-06,1.35241E-05,9.21352E-05,1.56737E-05,7.6295E-05
0.589,5.73591E-06,3.14537E-06,7.1155E-06,3.76477E-06,1.35566E-05,9.26019E-05,1.63145E-05,7.43422E-05
0.59,6.10753E-06,3.50404E-06,7.17429E-06,3.61217E-06,1.30584E-05,9.30615E-05,1.79861E-05,7.10935E-05
0.591,6.59621E-06,3.5909E-06,7.36497E-06,3.54861E-06,1.20055E-05,9.26123E-05,2.00231E-05,7.08054E-05
0.592,6.82059E-06,3.68577E-06,7.91631E-06,3.57392E-06,1.16134E-05,9.09461E-05,2.24218E-05,7.11979E-05
0.593,6.68942E-06,3.96309E-06,9.32884E-06,3.80982E-06,1.23154E-05,8.76338E-05,2.57531E-05,6.98811E-05
0.594,6.48393E-06,4.48406E-06,9.97754E-06,4.20314E-06,1.27161E-05,8.44647E-05,3.40387E-05,6.32123E-05
0.595,6.47091E-06,4.54625E-06,1.19241E-05,4.49908E-06,1.26657E-05,8.14774E-05,3.6634E-05,5.60982E-05
0.596,6.48315E-06,4.48541E-06,1.2647E-05,4.5092E-06,1.28418E-05,8.031E-05,3.72788E-05,5.56402E-05
0.597,6.83151E-06,4.3624E-06,1.28003E-05,4.50847E-06,1.30878E-05,8.02543E-05,3.72152E-05,5.45757E-05
0.598,7.13997E-06,4.36509E-06,1.34523E-05,4.48925E-06,1.31063E-05,7.81103E-05,3.75009E-05,5.61113E-05
0.599,7.11131E-06,4.44293E-06,1.37101E-05,4.4297E-06,1.26342E-05,7.20886E-05,3.98871E-05,5.68627E-05
0.6,7.14471E-06,4.71324E-06,1.38632E-05,4.41248E-06,1.21861E-05,6.67456E-05,4.2628E-05,5.80296E-05
0.601,7.1646E-06,4.75758E-06,1.40581E-05,4.30827E-06,1.19731E-05,6.23465E-05,4.51332E-05,5.81612E-05
0.602,7.20933E-06,4.83977E-06,1.43337E-05,4.25828E-06,1.16532E-05,5.94118E-05,4.59185E-05,5.79827E-05
0.603,7.4213E-06,4.8602E-06,1.44985E-05,4.35029E-06,1.09414E-05,5.93235E-05,4.59918E-05,5.89836E-05
0.604,7.58453E-06,4.85954E-06,1.46098E-05,4.39734E-06,1.02344E-05,6.04453E-05,4.62782E-05,6.71836E-05
0.605,7.60714E-06,4.73507E-06,1.46598E-05,4.40328E-06,9.67643E-06,5.74706E-05,4.60814E-05,7.58227E-05
0.606,7.79777E-06,4.74353E-06,1.4139E-05,4.19801E-06,9.41997E-06,4.99373E-05,4.62673E-05,7.81239E-05
0.607,7.87802E-06,4.75511E-06,1.40254E-05,4.15194E-06,9.40607E-06,4.13661E-05,4.67279E-05,7.52367E-05
0.608,7.56535E-06,4.94624E-06,1.40163E-05,4.14319E-06,9.37524E-06,3.56375E-05,4.74159E-05,8.08919E-05
0.609,7.17032E-06,5.92761E-06,1.39484E-05,4.13324E-06,9.27823E-06,3.33671E-05,4.83311E-05,8.95861E-05
0.61,7.122E-06,5.99976E-06,1.38936E-05,4.07156E-06,9.34006E-06,3.43782E-05,4.77796E-05,9.48606E-05
0.611,6.95372E-06,6.44033E-06,1.38179E-05,4.03136E-06,1.07608E-05,3.73284E-05,4.76334E-05,0.000101253
0.612,6.9021E-06,7.90529E-06,1.36279E-05,4.00367E-06,1.1208E-05,3.82746E-05,4.9022E-05,0.000104848
0.613,7.08348E-06,8.2467E-06,1.28343E-05,3.78579E-06,1.04229E-05,3.87224E-05,4.89255E-05,0.000106242
0.614,7.24864E-06,7.97075E-06,1.26637E-05,3.25437E-06,9.9295E-06,4.00758E-05,4.36233E-05,0.000109371
0.615,7.27553E-06,7.9179E-06,1.09702E-05,2.42832E-06,9.817E-06,4.06028E-05,4.1484E-05,0.000115042
0.616,7.29837E-06,7.96487E-06,1.0534E-05,2.20989E-06,9.3741E-06,4.09818E-05,4.10305E-05,0.000116881
0.617,7.06308E-06,7.97834E-06,1.11013E-05,2.23547E-06,9.20596E-06,4.10747E-05,4.33218E-05,0.000116198
0.618,7.16818E-06,7.95373E-06,1.03503E-05,2.24664E-06,1.08208E-05,4.10752E-05,4.63134E-05,0.000115015
0.619,7.68223E-06,7.87031E-06,1.01656E-05,2.2089E-06,1.2819E-05,4.12132E-05,4.46577E-05,0.000115014
0.62,7.788E-06,7.66816E-06,9.96451E-06,2.31014E-06,1.3155E-05,4.08725E-05,4.19506E-05,0.000114872
0.621,7.82344E-06,7.63102E-06,9.60119E-06,2.33786E-06,1.31362E-05,3.99696E-05,3.93606E-05,0.000116931
0.622,8.35191E-06,7.60828E-06,9.18688E-06,2.21665E-06,1.2882E-05,3.89967E-05,3.88695E-05,0.000117745
0.623,8.61009E-06,7.61437E-06,8.69808E-06,2.00387E-06,1.29088E-05,3.91466E-05,3.9542E-05,0.000115887
0.624,9.02997E-06,7.59992E-06,8.60168E-06,1.90371E-06,1.3349E-05,4.20936E-05,4.29951E-05,0.000111173
0.625,1.01907E-05,7.75048E-06,8.00186E-06,1.75061E-06,1.37687E-05,4.48129E-05,4.34312E-05,0.000106142
0.626,1.14489E-05,8.02535E-06,9.18075E-06,1.8599E-06,1.39173E-05,4.58734E-05,4.28981E-05,0.00010355
0.627,1.29326E-05,8.05255E-06,9.50808E-06,1.84757E-06,1.38834E-05,4.58729E-05,4.25509E-05,0.000102906
0.628,1.44055E-05,7.99554E-06,9.56519E-06,1.86405E-06,1.38857E-05,4.8728E-05,4.21172E-05,9.51008E-05
0.629,1.53284E-05,7.38023E-06,9.7588E-06,1.88844E-06,1.38834E-05,5.12562E-05,4.11713E-05,8.63212E-05
0.63,1.60117E-05,7.27215E-06,9.77173E-06,1.91307E-06,1.361E-05,5.01595E-05,4.10439E-05,8.17453E-05
0.631,1.67689E-05,6.95412E-06,9.85811E-06,1.94149E-06,1.23795E-05,4.84863E-05,4.1244E-05,7.811E-05
0.632,1.77002E-05,5.33971E-06,9.91876E-06,1.99314E-06,1.17517E-05,5.11214E-05,4.00049E-05,7.70454E-05
0.633,1.83201E-05,4.82522E-06,9.77554E-06,1.98322E-06,1.16975E-05,5.4903E-05,4.19416E-05,8.08675E-05
0.634,1.85213E-05,5.17442E-06,9.43098E-06,1.95051E-06,1.1712E-05,5.46913E-05,4.31428E-05,7.73453E-05
0.635,1.85278E-05,5.17437E-06,9.4116E-06,1.98338E-06,1.17354E-05,5.41935E-05,4.36488E-05,7.06306E-05
0.636,1.85192E-05,5.29851E-06,9.18258E-06,2.00101E-06,1.1647E-05,5.63374E-05,4.36875E-05,6.98285E-05
0.637,1.84828E-05,5.30304E-06,9.90445E-06,1.97393E-06,1.14283E-05,6.18804E-05,4.23431E-05,6.99762E-05
0.638,1.83797E-05,5.33833E-06,1.02622E-05,1.9508E-06,9.8843E-06,6.86879E-05,4.16482E-05,7.0132E-05
0.639,1.81757E-05,5.33119E-06,1.00239E-05,1.95226E-06,7.11015E-06,7.31682E-05,4.1749E-05,6.97847E-05
0.64,1.81247E-05,5.31972E-06,1.02332E-05,1.81073E-06,6.54792E-06,7.44864E-05,4.17649E-05,7.01042E-05
0.641,1.82746E-05,5.34063E-06,1.12329E-05,1.73709E-06,6.4988E-06,7.54781E-05,4.36096E-05,7.04306E-05
0.642,1.86659E-05,5.31927E-06,1.13756E-05,1.73232E-06,6.48E-06,7.7701E-05,4.96463E-05,7.13207E-05
0.643,1.91421E-05,5.31405E-06,1.18933E-05,1.82484E-06,6.20291E-06,7.964E-05,4.96784E-05,7.33379E-05
0.644,1.95009E-05,5.31478E-06,1.2344E-05,1.84328E-06,5.28988E-06,7.96328E-05,4.74132E-05,7.43322E-05
0.645,2.00143E-05,5.11802E-06,1.45731E-05,1.8341E-06,4.35007E-06,7.91779E-05,4.70761E-05,7.33679E-05
0.646,2.07741E-05,5.46411E-06,1.45782E-05,1.6797E-06,3.98543E-06,7.8873E-05,4.70533E-05,7.28334E-05
0.647,2.14707E-05,6.7402E-06,1.51168E-05,1.66008E-06,4.77914E-06,7.88045E-05,4.65667E-05,7.39643E-05
0.648,2.23584E-05,6.90612E-06,1.53668E-05,1.71396E-06,6.9845E-06,7.74719E-05,4.69314E-05,7.3387E-05
0.649,2.32853E-05,6.77348E-06,1.54287E-05,1.7043E-06,7.56128E-06,7.88074E-05,4.83428E-05,7.32014E-05
0.65,2.38173E-05,6.65166E-06,1.54392E-05,1.68947E-06,7.98845E-06,9.14042E-05,4.85132E-05,7.21363E-05
0.651,2.3946E-05,6.62271E-06,1.53652E-05,1.79443E-06,1.12369E-05,0.000108909,4.80137E-05,6.71919E-05
0.652,2.39075E-05,6.52771E-06,1.52464E-05,1.79161E-06,1.45149E-05,0.000127912,4.79403E-05,6.41431E-05
0.653,2.38309E-05,6.39777E-06,1.52386E-05,1.74499E-06,1.65351E-05,0.000143097,4.55317E-05,5.82705E-05
0.654,2.37093E-05,6.27216E-06,1.52612E-05,1.74362E-06,1.75958E-05,0.000151049,4.51265E-05,5.77081E-05
0.655,2.36724E-05,6.48792E-06,1.52033E-05,1.67911E-06,1.79321E-05,0.000152622,4.77637E-05,5.70442E-05
0.656,2.36686E-05,6.41941E-06,1.52238E-05,1.64592E-06,1.80891E-05,0.000151791,5.46493E-05,5.76051E-05
0.657,2.37254E-05,6.39982E-06,1.45979E-05,1.64699E-06,1.81515E-05,0.00015033,5.61189E-05,6.29467E-05
0.658,2.39515E-05,6.36646E-06,1.48454E-05,1.64016E-06,1.84915E-05,0.000148835,5.44259E-05,6.76176E-05
0.659,2.44182E-05,6.30649E-06,1.5083E-05,1.63598E-06,1.88064E-05,0.000148863,5.9471E-05,6.83816E-05
0.66,2.49386E-05,6.31314E-06,1.53138E-05,1.75567E-06,1.90349E-05,0.000151554,6.65633E-05,6.92309E-05
0.661,2.53946E-05,6.302E-06,1.45868E-05,2.11053E-06,1.92312E-05,0.000154932,6.56953E-05,6.91731E-05
0.662,2.51437E-05,6.29443E-06,1.49808E-05,2.23835E-06,1.93775E-05,0.000157752,6.1385E-05,6.8432E-05
0.663,2.46598E-05,6.28552E-06,1.54074E-05,2.21325E-06,1.95122E-05,0.000159939,6.44053E-05,6.70473E-05
0.664,2.4256E-05,6.28398E-06,1.54023E-05,2.35362E-06,1.994E-05,0.000161064,6.72693E-05,7.21893E-05
0.665,2.3582E-05,6.26358E-06,1.35329E-05,2.4432E-06,2.0462E-05,0.000161708,6.78571E-05,7.35157E-05
0.666,2.26317E-05,5.59532E-06,1.28862E-05,2.43103E-06,2.11761E-05,0.00016243,6.8891E-05,7.53335E-05
0.667,2.15985E-05,3.9108E-06,1.21418E-05,2.34436E-06,2.15464E-05,0.000162783,7.07203E-05,7.95049E-05
0.668,2.01791E-05,3.39248E-06,1.42939E-05,2.2941E-06,2.10427E-05,0.000162595,7.03995E-05,8.55386E-05
0.669,1.84037E-05,3.27721E-06,1.49558E-05,2.54161E-06,2.08673E-05,0.000160893,6.96732E-05,9.0574E-05
0.67,1.68928E-05,3.20361E-06,1.57452E-05,2.82609E-06,2.08689E-05,0.000154021,6.97134E-05,9.09408E-05
0.671,1.58348E-05,3.03934E-06,1.84099E-05,2.76013E-06,1.94714E-05,0.000142461,6.98033E-05,9.11636E-05
0.672,1.47405E-05,3.24094E-06,1.85423E-05,2.74311E-06,1.71848E-05,0.000125101,6.92619E-05,9.24717E-05
0.673,1.40033E-05,3.60062E-06,1.85723E-05,2.79813E-06,1.53365E-05,0.000106401,6.87014E-05,9.78542E-05
0.674,1.3872E-05,4.21853E-06,1.85499E-05,2.80046E-06,1.41065E-05,9.54958E-05,6.83308E-05,0.000105295
0.675,1.39271E-05,4.03652E-06,1.908E-05,2.81738E-06,1.3807E-05,9.40082E-05,6.70543E-05,0.000110877
0.676,1.39657E-05,5.15229E-06,1.90872E-05,2.83696E-06,1.40013E-05,9.44871E-05,6.22716E-05,0.000111423
0.677,1.39279E-05,6.07109E-06,1.97754E-05,2.85948E-06,1.39665E-05,9.39472E-05,6.0737E-05,0.000109408
0.678,1.35589E-05,6.6939E-06,1.96831E-05,2.86667E-06,1.35131E-05,9.24815E-05,6.04769E-05,0.000106208
0.679,1.2727E-05,6.88213E-06,2.05866E-05,2.8704E-06,1.38042E-05,8.97593E-05,5.5114E-05,0.000105538
0.68,1.16266E-05,6.87428E-06,2.08113E-05,2.83323E-06,1.55379E-05,8.48362E-05,4.62793E-05,0.000105492
0.681,1.02512E-05,6.86484E-06,2.10077E-05,2.63473E-06,1.6905E-05,7.76491E-05,4.56683E-05,0.00010476
0.682,9.85126E-06,6.85877E-06,2.12111E-05,2.67985E-06,1.71169E-05,7.03928E-05,4.5438E-05,0.000103959
0.683,1.0063E-05,6.86737E-06,2.1931E-05,2.83341E-06,1.69527E-05,6.33828E-05,4.32227E-05,0.00010363
0.684,9.95709E-06,6.96642E-06,2.18651E-05,2.73259E-06,1.64381E-05,5.7249E-05,4.22556E-05,9.96932E-05
0.685,9.39933E-06,7.00579E-06,2.37574E-05,2.66042E-06,1.57977E-05,5.48698E-05,4.21803E-05,9.91699E-05
0.686,8.44555E-06,6.99542E-06,2.47968E-05,2.70435E-06,1.49677E-05,5.78832E-05,4.46098E-05,9.90134E-05
0.687,7.09382E-06,6.99875E-06,2.46795E-05,2.69693E-06,1.47227E-05,6.0142E-05,4.64089E-05,9.48177E-05
0.688,5.50322E-06,7.00152E-06,2.3408E-05,2.64784E-06,1.52473E-05,6.01942E-05,4.6381E-05,8.98898E-05
0.689,4.8962E-06,7.02567E-06,2.31912E-05,2.47891E-06,1.60126E-05,6.02824E-05,4.59968E-05,8.58297E-05
0.69,4.89276E-06,7.02939E-06,2.32162E-05,2.44496E-06,1.65941E-05,6.00254E-05,4.58927E-05,8.54031E-05
0.691,5.00142E-06,7.01184E-06,2.13654E-05,2.77752E-06,1.68227E-05,5.91633E-05,4.52768E-05,8.62278E-05
0.692,5.36262E-06,6.87103E-06,2.12439E-05,2.89246E-06,1.68844E-05,5.8623E-05,4.46463E-05,8.66684E-05
0.693,5.9548E-06,6.66303E-06,2.12096E-05,2.85449E-06,1.68489E-05,5.67075E-05,4.46024E-05,8.0946E-05
0.694,6.66074E-06,6.21668E-06,2.12075E-05,2.86568E-06,1.69698E-05,5.43483E-05,4.4635E-05,7.07306E-05
0.695,7.13812E-06,6.17111E-06,2.0883E-05,2.85166E-06,1.69528E-05,5.26407E-05,4.35797E-05,6.02112E-05
0.696,7.29734E-06,5.16632E-06,2.08965E-05,2.84999E-06,1.66906E-05,5.17767E-05,4.24032E-05,5.68553E-05
0.697,7.29142E-06,4.07884E-06,2.00077E-05,2.92327E-06,1.66655E-05,5.06501E-05,4.15917E-05,5.64078E-05
0.698,7.54349E-06,2.95373E-06,1.96999E-05,2.94984E-06,1.68178E-05,4.91785E-05,4.2179E-05,5.63295E-05
0.699,8.15782E-06,2.57781E-06,1.87765E-05,3.20544E-06,1.62755E-05,4.89074E-05,4.29334E-05,6.07347E-05
0.7,8.63295E-06,2.73335E-06,1.86948E-05,3.45562E-06,1.44697E-05,5.07479E-05,4.29411E-05,6.70107E-05
0.701,9.11299E-06,2.74063E-06,1.86565E-05,3.541E-06,1.28423E-05,5.7377E-05,4.28645E-05,6.68208E-05
0.702,9.33705E-06,2.74509E-06,1.80101E-05,3.44874E-06,1.25058E-05,6.47336E-05,4.25691E-05,6.64439E-05
0.703,9.16017E-06,2.70079E-06,1.64069E-05,3.55631E-06,1.25589E-05,7.22729E-05,3.96121E-05,6.65901E-05
0.704,9.05474E-06,2.42593E-06,1.60953E-05,3.66835E-06,1.25154E-05,7.94651E-05,3.44126E-05,6.63159E-05
0.705,9.04673E-06,2.31635E-06,1.28043E-05,3.68373E-06,1.27409E-05,8.22518E-05,3.3226E-05,6.54865E-05
0.706,9.05045E-06,2.42181E-06,1.03815E-05,3.96532E-06,1.25949E-05,7.97679E-05,2.7415E-05,6.34996E-05
0.707,9.01128E-06,2.50372E-06,1.02931E-05,4.33487E-06,1.28272E-05,7.7747E-05,1.82767E-05,6.41055E-05
0.708,9.0454E-06,2.56395E-06,1.00792E-05,4.58602E-06,1.4133E-05,7.75422E-05,1.77993E-05,6.5276E-05
0.709,9.1265E-06,2.58415E-06,9.41788E-06,5.01563E-06,1.50981E-05,7.77427E-05,1.69163E-05,6.5501E-05
0.71,9.2414E-06,2.59781E-06,7.94502E-06,5.41826E-06,1.51087E-05,7.9127E-05,1.63804E-05,6.6193E-05
0.711,9.41227E-06,2.59059E-06,7.3933E-06,5.57498E-06,1.48393E-05,8.17233E-05,1.68413E-05,6.47028E-05
0.712,9.30585E-06,2.5814E-06,7.39926E-06,5.62963E-06,1.4812E-05,8.49891E-05,1.77453E-05,6.08896E-05
