X [],ES: EMG 1->Filter->Subset->RMS [],GMax: EMG 2->Filter->Subset->RMS [],BF: EMG 3->Filter->Subset->RMS [],ST: EMG 4->Filter->Subset->RMS [],URA: EMG 5->Filter->Subset->RMS [],LRA: EMG 6->Filter->Subset->RMS [],EO: EMG 7->Filter->Subset->RMS [],IL: EMG 8->Filter->Subset->RMS [],RF: EMG 9->Filter->Subset->RMS []
0.000000000000 ,0.000003366520 ,0.000001630720 ,0.000001144870 ,0.000007581260 ,0.000000708209 ,0.000000769428 ,0.000002024330 ,0.000001193580 ,0.000001690070
0.010323500000 ,0.000003638430 ,0.000002435240 ,0.000001680450 ,0.000008500390 ,0.000000811192 ,0.000000986804 ,0.000002081830 ,0.000001524320 ,0.000002186380
0.020647100000 ,0.000002587770 ,0.000002339600 ,0.000003312890 ,0.000004498080 ,0.000000678526 ,0.000001057290 ,0.000000757927 ,0.000001369410 ,0.000001964100
0.030970600000 ,0.000004114880 ,0.000001669570 ,0.000004462130 ,0.000003549940 ,0.000000690074 ,0.000001233480 ,0.000001145360 ,0.000001186400 ,0.000001962230
0.041294100000 ,0.000007273380 ,0.000002741020 ,0.000004715680 ,0.000005425820 ,0.000000771423 ,0.000001095060 ,0.000001474920 ,0.000001254950 ,0.000001624580
0.051617600000 ,0.000006964610 ,0.000003216370 ,0.000003950670 ,0.000006708450 ,0.000000999988 ,0.000000824577 ,0.000001831430 ,0.000001369330 ,0.000001362100
0.061941200000 ,0.000003584830 ,0.000002494830 ,0.000005510920 ,0.000013095200 ,0.000000810430 ,0.000000797973 ,0.000001851300 ,0.000001438710 ,0.000001404530
0.072264700000 ,0.000004209490 ,0.000002106090 ,0.000008599790 ,0.000016677900 ,0.000000673521 ,0.000000892700 ,0.000001728460 ,0.000001899440 ,0.000001671090
0.082588200000 ,0.000004305970 ,0.000002126030 ,0.000007072430 ,0.000012626800 ,0.000000744606 ,0.000000952358 ,0.000001810030 ,0.000001851890 ,0.000001775630
0.092911800000 ,0.000004172080 ,0.000001850780 ,0.000002945720 ,0.000008371230 ,0.000000879673 ,0.000000946028 ,0.000001463420 ,0.000001675830 ,0.000001962610
0.103235000000 ,0.000003183060 ,0.000001983970 ,0.000004273870 ,0.000007807080 ,0.000000812658 ,0.000001287170 ,0.000000949560 ,0.000001781780 ,0.000002225850
0.113559000000 ,0.000003716180 ,0.000002072580 ,0.000005105880 ,0.000009551350 ,0.000000772263 ,0.000001246820 ,0.000001059590 ,0.000001549240 ,0.000001828550
0.123882000000 ,0.000003308570 ,0.000001365680 ,0.000005762710 ,0.000010645600 ,0.000000734244 ,0.000001065890 ,0.000001639500 ,0.000001279370 ,0.000001561600
0.134206000000 ,0.000002362120 ,0.000001354190 ,0.000006975230 ,0.000010934800 ,0.000000725924 ,0.000001091240 ,0.000001633260 ,0.000002319670 ,0.000001475610
0.144529000000 ,0.000002969240 ,0.000001880870 ,0.000006321670 ,0.000010651300 ,0.000000946910 ,0.000000917595 ,0.000001220940 ,0.000002605520 ,0.000001723430
0.154853000000 ,0.000003420460 ,0.000001791460 ,0.000004763360 ,0.000012531300 ,0.000001027560 ,0.000000677290 ,0.000001012900 ,0.000001824340 ,0.000001866620
0.165176000000 ,0.000003673490 ,0.000001274520 ,0.000005409360 ,0.000013507500 ,0.000001057070 ,0.000000711579 ,0.000000806489 ,0.000001468770 ,0.000001880580
