X [],R ILIOPSOAS: EMG 1->Filter->MAV->RMS [],L ILIOPSOAS: EMG 2->Filter->MAV->RMS [],R GLUTEUS MAXIMUS: EMG 4 (IM)->Filter->MAV->RMS [],L GLUTEUS MAXIMUS: EMG 5->Filter->MAV->RMS [],R RECTUS ABDOMINIS: EMG 6->Filter->MAV->RMS [],L RECTUS ABDOMINIS: EMG 7->Filter->MAV->RMS [],R ERECTOR SPINAE: EMG 8->Filter->MAV->RMS [],L ERECTOR SPINAE: EMG 9->Filter->MAV->RMS [],R RECTUS FEMORIS: EMG 10->Filter->MAV->RMS [],L RECTUS FEMORIS: EMG 11->Filter->MAV->RMS [],R BICEPS FEMORIS: EMG 12->Filter->MAV->RMS [],L BICEPS FEMORIS: EMG 13->Filter->MAV->RMS []
1.3,0.000138707,3.90382E-05,6.17683E-06,0.000141427,3.34257E-05,1.02527E-05,5.45991E-05,5.84802E-06,0.000232399,7.2675E-06,1.28439E-05,0.000114111
1.31,0.000137608,4.06794E-05,6.24824E-06,0.000141434,3.366E-05,1.00335E-05,5.10196E-05,5.79206E-06,0.000212248,7.88213E-06,1.38191E-05,0.000123419
1.32,0.000154704,3.85586E-05,6.06061E-06,0.000142067,3.31038E-05,1.08531E-05,4.2179E-05,5.55966E-06,0.000214739,7.81341E-06,1.2248E-05,0.000118418
1.33,0.000152584,3.54234E-05,6.77878E-06,0.000140421,3.25365E-05,1.05637E-05,4.57745E-05,5.2807E-06,0.00020873,7.47709E-06,1.1698E-05,0.000111804
1.34,0.000116705,3.36867E-05,7.29229E-06,0.000139574,3.24939E-05,1.04065E-05,5.70465E-05,4.91141E-06,0.000205017,7.24095E-06,1.29379E-05,0.000100274
1.35,9.87285E-05,3.4266E-05,6.55125E-06,0.00013804,3.25628E-05,1.10445E-05,6.46683E-05,4.86559E-06,0.000213588,7.46418E-06,1.2166E-05,9.55375E-05
1.36,0.000136052,3.7679E-05,5.34226E-06,0.000135568,3.27025E-05,9.0969E-06,6.1365E-05,4.46999E-06,0.000186942,7.02745E-06,1.31315E-05,0.000105936
1.37,0.000139132,3.88213E-05,5.78151E-06,0.000136644,3.18214E-05,7.05818E-06,5.13857E-05,3.97639E-06,0.000167891,6.62432E-06,1.42288E-05,9.64453E-05
1.38,0.000124898,3.5116E-05,6.67922E-06,0.000135895,3.16573E-05,9.19115E-06,4.94536E-05,4.55161E-06,0.000170128,6.26359E-06,1.3271E-05,8.09388E-05
1.39,0.000118236,3.46472E-05,6.37359E-06,0.000133932,3.13868E-05,1.04149E-05,5.09236E-05,4.10563E-06,0.000192394,5.87259E-06,1.41815E-05,8.54668E-05
1.4,0.000111816,3.32106E-05,5.99334E-06,0.000126738,3.14146E-05,1.0299E-05,6.98067E-05,4.33148E-06,0.000185681,5.5223E-06,1.46324E-05,8.80349E-05
1.41,0.000129488,2.71241E-05,5.39729E-06,0.000117374,3.16016E-05,1.02545E-05,6.71286E-05,5.74514E-06,0.000161972,5.64627E-06,1.30713E-05,8.5238E-05
1.42,0.000118977,2.62464E-05,4.54879E-06,0.000114852,3.09424E-05,9.18144E-06,4.27242E-05,5.26914E-06,0.000180406,6.30492E-06,1.12705E-05,8.21386E-05
1.43,9.49574E-05,2.92442E-05,5.4203E-06,9.83247E-05,3.03346E-05,7.04634E-06,5.39578E-05,4.83672E-06,0.000191294,6.54977E-06,1.22814E-05,6.80404E-05
1.44,0.000106262,2.6775E-05,5.68944E-06,8.32117E-05,3.01216E-05,6.75138E-06,5.72865E-05,4.82526E-06,0.00016521,5.45183E-06,1.40713E-05,6.76159E-05
1.45,0.000121444,2.24E-05,5.0076E-06,9.13808E-05,2.94094E-05,7.26884E-06,0.000143088,4.93303E-06,0.000154997,5.40061E-06,1.35476E-05,0.000102589
1.46,0.000126731,2.64032E-05,5.51322E-06,8.51713E-05,2.90613E-05,8.68905E-06,0.000162938,4.91746E-06,0.000158177,5.64289E-06,1.3835E-05,9.571E-05
1.47,0.000109789,2.66688E-05,6.17519E-06,0.000103437,2.93051E-05,9.59103E-06,0.000103319,4.09594E-06,0.000150787,4.7314E-06,1.43611E-05,6.47853E-05
1.48,9.92793E-05,2.69284E-05,6.37975E-06,0.000117384,3.00973E-05,7.95342E-06,7.07633E-05,4.35807E-06,0.000156654,4.51371E-06,1.2912E-05,7.64129E-05
1.49,0.000128431,2.8312E-05,6.00954E-06,9.27744E-05,3.0266E-05,7.28107E-06,5.54134E-05,4.17652E-06,0.000174522,4.16741E-06,1.15049E-05,9.02577E-05
1.5,0.000138971,2.66475E-05,5.72212E-06,6.88571E-05,3.03764E-05,7.51574E-06,9.32192E-05,4.70371E-06,0.000161046,3.97703E-06,1.23953E-05,0.000108164
1.51,0.000162193,2.44713E-05,5.77144E-06,7.82885E-05,3.04381E-05,8.08043E-06,9.16593E-05,5.46961E-06,0.000116534,5.5172E-06,1.30901E-05,9.2231E-05
1.52,0.000210454,2.77668E-05,4.69995E-06,8.13461E-05,2.96687E-05,7.81171E-06,5.53823E-05,8.68743E-06,0.000134171,6.24884E-06,1.30357E-05,7.31991E-05
1.53,0.000185029,3.26425E-05,4.42257E-06,7.58041E-05,2.95851E-05,7.15131E-06,9.42741E-05,9.38771E-06,0.000161448,4.88731E-06,1.32217E-05,8.75025E-05
1.54,0.00010313,2.89132E-05,5.49822E-06,7.45441E-05,2.68682E-05,9.07527E-06,0.000104141,6.03454E-06,0.000185775,4.12831E-06,1.15567E-05,0.00010458
1.55,8.70045E-05,3.00305E-05,5.86442E-06,6.84565E-05,2.71704E-05,1.02091E-05,6.902E-05,4.37276E-06,0.000161612,3.892E-06,1.15194E-05,0.000143947
1.56,8.46278E-05,5.36177E-05,5.53738E-06,8.81377E-05,3.13894E-05,1.19102E-05,5.06769E-05,4.60108E-06,0.000121172,5.3303E-06,1.25187E-05,0.000142633
1.57,9.38034E-05,5.13389E-05,5.02197E-06,8.59496E-05,3.0911E-05,1.58233E-05,6.29264E-05,7.09958E-06,0.000124579,5.65618E-06,1.20813E-05,9.68262E-05
1.58,0.000126,4.0357E-05,5.12924E-06,6.9736E-05,2.92563E-05,1.54945E-05,5.57237E-05,2.04059E-05,0.000131178,5.07598E-06,1.28151E-05,0.000224838
1.59,0.000122167,5.04201E-05,5.36009E-06,7.62909E-05,3.07354E-05,9.98623E-06,5.79639E-05,3.03682E-05,0.000159281,6.1061E-06,1.31172E-05,0.000226638
1.6,9.67038E-05,4.31705E-05,5.49821E-06,9.66013E-05,2.95391E-05,9.87211E-06,6.28598E-05,2.41362E-05,0.000176243,6.43356E-06,1.3575E-05,0.000114094
1.61,0.00011331,5.59054E-05,6.80586E-06,0.000204815,2.83988E-05,1.24122E-05,7.38798E-05,9.60592E-06,0.000232779,5.52904E-06,1.32664E-05,0.000117635
1.62,0.000141383,5.56501E-05,6.99341E-06,0.000206088,2.88048E-05,1.06454E-05,6.79364E-05,9.63415E-06,0.000227463,4.62987E-06,1.0269E-05,0.000107232
1.63,0.000137734,2.90515E-05,5.99254E-06,0.000106719,2.70679E-05,7.95164E-06,4.30838E-05,6.79867E-06,0.000190505,5.13164E-06,7.5883E-06,0.000118866
1.64,0.00018169,2.18351E-05,6.62523E-06,0.000150219,2.65716E-05,7.41543E-06,5.40838E-05,3.92782E-06,0.000189463,5.70572E-06,1.09078E-05,0.000129534
1.65,0.000195624,2.2254E-05,6.36791E-06,0.000164308,2.67146E-05,1.37503E-05,0.000106469,4.6291E-06,0.00043148,5.85655E-06,1.21444E-05,0.000174698
1.66,0.000161149,3.30651E-05,5.77753E-06,0.00014793,2.73024E-05,1.54764E-05,0.000103835,9.04641E-06,0.000438006,5.44994E-06,9.86736E-06,0.000160613
1.67,0.000196966,6.76515E-05,6.51886E-06,0.000131312,2.61867E-05,1.20089E-05,5.65145E-05,1.09524E-05,0.000246249,5.34276E-06,8.16914E-06,9.44522E-05
1.68,0.000186772,6.80998E-05,5.91878E-06,0.00010091,2.80246E-05,1.13128E-05,6.33598E-05,8.56018E-06,0.000226978,5.16309E-06,7.44437E-06,0.000291637
1.69,0.000135181,7.55167E-05,6.04053E-06,0.000101338,3.06815E-05,2.42274E-05,5.89288E-05,5.57202E-06,0.000150704,5.18661E-06,8.53193E-06,0.0003285
1.7,0.000122497,0.000155919,6.43513E-06,6.99457E-05,2.78171E-05,2.35721E-05,0.000105063,7.09718E-06,0.000182084,5.06169E-06,6.73467E-06,0.000309451
1.71,0.000124692,0.000160136,6.06768E-06,7.44339E-05,2.22282E-05,1.57244E-05,0.00016348,1.21883E-05,0.000438347,5.48484E-06,6.49275E-06,0.000279578
1.72,0.000135272,9.91588E-05,6.10267E-06,9.75718E-05,1.98739E-05,2.17567E-05,0.000151536,1.09591E-05,0.000430256,5.74982E-06,9.12065E-06,0.000168716
1.73,0.000124592,7.84713E-05,7.52598E-06,9.5326E-05,2.3013E-05,2.30239E-05,8.72236E-05,6.58496E-06,0.00015458,4.62736E-06,9.77704E-06,0.000249839
1.74,0.000117994,9.10823E-05,7.14165E-06,0.000108336,2.54468E-05,1.70451E-05,5.34668E-05,6.35285E-06,0.000289299,5.89107E-06,1.06531E-05,0.000237076
1.75,0.000141256,8.75112E-05,5.51007E-06,0.000104662,2.55081E-05,1.0626E-05,4.90329E-05,4.52999E-06,0.000351416,6.97975E-06,9.65603E-06,0.00021982
1.76,0.000175838,8.70077E-05,5.18836E-06,9.33225E-05,2.39783E-05,2.1772E-05,4.20363E-05,9.84264E-06,0.000267167,5.64664E-06,8.86056E-06,0.000219671
1.77,0.000153441,9.58508E-05,5.20688E-06,0.000221177,2.12521E-05,2.64782E-05,0.000116575,4.03031E-05,0.000210188,3.67024E-06,8.3902E-06,0.00018939
1.78,0.000101703,6.08353E-05,5.39554E-06,0.000225923,2.47057E-05,2.21093E-05,0.000192075,6.75434E-05,0.000420502,3.57639E-06,6.97376E-06,0.0002492
1.79,0.000101459,4.93063E-05,7.71291E-06,0.000118483,2.51019E-05,1.49121E-05,0.000161005,7.45284E-05,0.000471523,4.9373E-06,6.34163E-06,0.00030361
1.8,0.000120099,5.83876E-05,8.30202E-06,0.000140236,2.16307E-05,1.10984E-05,6.25308E-05,5.59613E-05,0.000398846,5.53537E-06,7.73E-06,0.000305248
1.81,0.000189271,8.15407E-05,6.71967E-06,0.000142481,2.38114E-05,1.74413E-05,5.13044E-05,3.8947E-05,0.000337788,6.97139E-06,1.12827E-05,0.000227888
1.82,0.00018778,7.55509E-05,7.40553E-06,0.000139417,2.15434E-05,2.11235E-05,8.92334E-05,3.41695E-05,0.000189729,7.24558E-06,1.1542E-05,0.000137891
1.83,0.000159823,2.21563E-05,6.87609E-06,0.000128805,1.92383E-05,2.34947E-05,0.000257728,1.63629E-05,0.00015732,5.28382E-06,8.64364E-06,0.000295396
1.84,0.000205346,3.75684E-05,4.67819E-06,8.90819E-05,2.27918E-05,2.27326E-05,0.000296997,1.04289E-05,0.000212758,3.90765E-06,8.52213E-06,0.000374909
1.85,0.000188225,4.80751E-05,4.43404E-06,8.38026E-05,2.64289E-05,1.96938E-05,0.000182773,1.24981E-05,0.000217876,4.39889E-06,1.20818E-05,0.000261026
1.86,0.000139629,4.75067E-05,4.99542E-06,0.000101456,2.72335E-05,2.26242E-05,9.23258E-05,1.04242E-05,0.00031496,4.97367E-06,1.23132E-05,0.000209296
1.87,0.000118639,0.000132048,4.82245E-06,9.14713E-05,2.65409E-05,3.46303E-05,7.1401E-05,1.24557E-05,0.000350899,5.48825E-06,9.96742E-06,0.000218044
1.88,0.000113191,0.000150256,4.97454E-06,0.000102063,2.58227E-05,3.3187E-05,9.82979E-05,1.19717E-05,0.00022726,6.46025E-06,1.01721E-05,0.000135477
1.89,0.000190521,0.000106664,6.17838E-06,0.000106765,2.79697E-05,3.07678E-05,0.000182515,6.38062E-06,0.00023029,5.1075E-06,1.08663E-05,0.000182518
1.9,0.000229629,0.000111657,6.10263E-06,9.76218E-05,2.93009E-05,3.22702E-05,0.000203445,4.05682E-06,0.000217888,4.62054E-06,1.15683E-05,0.000271953
1.91,0.000215151,9.5101E-05,4.9099E-06,9.21585E-05,2.54571E-05,3.96653E-05,0.000154911,5.84594E-06,0.000135054,6.10146E-06,1.27938E-05,0.000247275
1.92,0.000172622,0.000110988,5.45861E-06,7.79189E-05,2.21332E-05,3.9038E-05,0.000200696,6.09454E-06,0.00014665,5.778E-06,1.2459E-05,0.000130501
1.93,0.000114483,0.000141098,5.92151E-06,0.00020101,2.48587E-05,2.65232E-05,0.000185674,4.73473E-06,0.000332012,6.10341E-06,1.05042E-05,0.000149988
1.94,9.39449E-05,0.000119199,5.74177E-06,0.000203836,2.87835E-05,2.99311E-05,7.27872E-05,4.53629E-06,0.000345807,5.53059E-06,8.48399E-06,0.000218111
1.95,9.31702E-05,9.25231E-05,7.07007E-06,9.82992E-05,2.74795E-05,2.40375E-05,7.05517E-05,1.23477E-05,0.000170429,4.49392E-06,9.69274E-06,0.000223508
1.96,0.00010796,0.00013887,1.01767E-05,0.000287987,2.49176E-05,1.5277E-05,6.63784E-05,1.30961E-05,0.000279064,5.03263E-06,9.90781E-06,0.000162429
1.97,0.000116061,0.000135374,9.44749E-06,0.000291225,2.33417E-05,1.70196E-05,0.000100499,1.03866E-05,0.000329365,5.68022E-06,9.11788E-06,0.00020766
1.98,0.000116847,5.5004E-05,5.60997E-06,0.000124001,2.43268E-05,2.74542E-05,8.62866E-05,1.27757E-05,0.00023634,9.28001E-06,9.11661E-06,0.000220423
1.99,0.000102658,7.38604E-05,4.95982E-06,0.000123785,2.63024E-05,3.40652E-05,4.17316E-05,1.2506E-05,0.000175852,8.3968E-06,1.0924E-05,0.000158964
2,0.000113853,9.92573E-05,7.26321E-06,0.000106221,2.54951E-05,3.06868E-05,6.28436E-05,9.84686E-06,0.000313205,4.18934E-06,1.28337E-05,0.000295637
2.01,0.000122908,0.000140177,7.25962E-06,9.85541E-05,2.47572E-05,2.09178E-05,5.47098E-05,8.12663E-06,0.000314007,4.9787E-06,1.93528E-05,0.000285516
2.02,0.00013521,0.00013881,5.16623E-06,9.05622E-05,2.26241E-05,1.92996E-05,5.51911E-05,7.2648E-06,0.000154298,5.0866E-06,1.99424E-05,0.000218123
2.03,0.000161994,6.79828E-05,4.60211E-06,9.11322E-05,2.45642E-05,3.25581E-05,8.42519E-05,6.35628E-06,0.000254531,5.63173E-06,1.38949E-05,0.000261372
2.04,0.00018557,6.92618E-05,6.6477E-06,8.40796E-05,2.51216E-05,2.99375E-05,7.00122E-05,6.94341E-06,0.000275919,7.05975E-06,2.74477E-05,0.000199895
2.05,0.000169462,8.98534E-05,7.06011E-06,6.1132E-05,2.24251E-05,2.09375E-05,7.18923E-05,7.56556E-06,0.000182739,8.13544E-06,2.70552E-05,0.000287814
2.06,0.000104769,8.23585E-05,5.9875E-06,6.75223E-05,2.57999E-05,2.17817E-05,0.000174079,9.97881E-06,0.000205152,7.03061E-06,1.10802E-05,0.000279262
2.07,0.000102181,6.10908E-05,8.24753E-06,7.99597E-05,2.66135E-05,1.32758E-05,0.000167164,9.32665E-06,0.000193028,5.85989E-06,1.09357E-05,9.99262E-05
2.08,0.000291106,3.54906E-05,9.42516E-06,8.61434E-05,2.62434E-05,1.50882E-05,5.85724E-05,6.3355E-06,0.000286966,5.76211E-06,1.66577E-05,8.57006E-05
2.09,0.000303515,6.08359E-05,7.31813E-06,8.08346E-05,2.66108E-05,1.78843E-05,0.000102675,7.48438E-06,0.000366786,6.31918E-06,1.76705E-05,9.99171E-05
2.1,0.000123958,6.98934E-05,4.52392E-06,0.000107699,2.58549E-05,2.48396E-05,0.000133437,6.79056E-06,0.000352409,6.89753E-06,1.22786E-05,0.000161557
2.11,0.000134225,4.76192E-05,4.78916E-06,0.00014343,2.46714E-05,2.46418E-05,0.000145078,6.15165E-06,0.000317368,6.30543E-06,1.81583E-05,0.000191623
2.12,0.000178687,2.69333E-05,5.94532E-06,0.000114003,2.61376E-05,1.58048E-05,0.000116641,6.64928E-06,0.000273329,1.35556E-05,2.37457E-05,0.000161784
2.13,0.000308361,3.37236E-05,8.35165E-06,9.33858E-05,2.55228E-05,3.33131E-05,4.0557E-05,4.65247E-06,0.000212373,1.38016E-05,1.7588E-05,0.000156478
2.14,0.00052354,9.16841E-05,7.3542E-06,0.000109811,2.53607E-05,4.76544E-05,4.89662E-05,4.64965E-06,0.000218644,5.81829E-06,1.07543E-05,0.000264556
2.15,0.000482789,0.0001455,4.19282E-06,9.35388E-05,2.99089E-05,3.71122E-05,5.16471E-05,4.63094E-06,0.000341596,3.94249E-06,1.86332E-05,0.000385815
2.16,0.000213177,0.000180426,5.95927E-06,8.37294E-05,2.70557E-05,2.50961E-05,8.95005E-05,6.09985E-06,0.000289066,3.62022E-06,2.40276E-05,0.000314144
2.17,0.000230924,0.000164607,7.78755E-06,8.8586E-05,2.46199E-05,2.86021E-05,0.000111285,8.14672E-06,0.000128644,8.68758E-06,2.59419E-05,0.000187109
2.18,0.000409862,9.5975E-05,7.51618E-06,9.3663E-05,2.30198E-05,2.02046E-05,0.000174353,7.23248E-06,0.000188069,9.88988E-06,1.97295E-05,0.000202789
2.19,0.000434045,7.99144E-05,6.21578E-06,8.54151E-05,2.1568E-05,1.34782E-05,0.000186408,5.92472E-06,0.000333921,5.501E-06,8.91723E-06,0.000124153
2.2,0.000320232,8.3131E-05,5.93471E-06,9.28349E-05,2.47951E-05,1.09255E-05,0.000110672,5.4209E-06,0.000309895,4.31932E-06,9.11422E-06,0.000111721
2.21,0.000197478,5.04582E-05,5.00757E-06,0.000127496,2.12546E-05,1.14296E-05,5.96864E-05,5.02195E-06,0.000273271,5.7859E-06,9.42019E-06,0.000147743
2.22,0.000115716,3.88414E-05,4.57162E-06,0.00012177,2.02274E-05,8.53423E-06,7.07911E-05,7.46131E-06,0.000270722,5.13525E-06,8.39796E-06,0.00026282
2.23,0.000113139,3.40487E-05,4.68773E-06,8.76732E-05,2.56181E-05,1.26585E-05,0.000113415,6.90682E-06,0.000146368,4.00919E-06,8.7427E-06,0.000282165
2.24,0.000190841,3.02995E-05,5.19643E-06,7.82687E-05,2.60621E-05,1.46488E-05,0.000176891,3.87376E-06,0.000141319,6.42899E-06,1.10681E-05,0.000171471
2.25,0.000383365,3.30855E-05,7.03572E-06,7.35905E-05,2.48175E-05,1.14499E-05,0.000161592,4.18189E-06,0.000149714,6.44859E-06,9.73288E-06,9.69875E-05
2.26,0.000370697,6.39745E-05,6.43465E-06,8.6716E-05,2.52474E-05,1.30261E-05,8.02818E-05,4.3371E-06,0.000292392,4.63367E-06,8.21547E-06,0.000133377
2.27,0.000167803,0.000119168,6.89171E-06,0.000106586,2.63233E-05,1.9645E-05,6.44206E-05,5.70582E-06,0.000298677,6.27197E-06,8.60078E-06,0.000123063
2.28,0.00018873,0.000168933,1.19108E-05,0.000140482,2.31568E-05,3.49977E-05,0.000153922,9.54448E-06,0.000165292,5.96749E-06,1.85864E-05,0.000167539
2.29,0.000198379,0.000140174,1.04257E-05,0.000137424,2.11826E-05,3.55268E-05,0.0001876,9.71808E-06,0.00012907,5.7952E-06,2.3796E-05,0.000204481
2.3,0.000225432,4.62953E-05,6.23829E-06,0.000187935,2.5496E-05,1.90376E-05,0.000151648,8.85955E-06,0.000302766,6.57255E-06,2.16988E-05,0.000240738
2.31,0.000234786,5.2965E-05,7.51073E-06,0.000216578,2.66906E-05,1.13621E-05,0.000178016,8.49635E-06,0.000297946,5.29424E-06,1.6016E-05,0.000209774
2.32,0.000144538,0.000105269,5.80896E-06,0.000138282,2.70122E-05,1.5132E-05,0.000179128,5.45219E-06,0.000169155,5.03894E-06,9.11842E-06,6.90769E-05
2.33,0.000572702,9.4376E-05,4.1256E-06,6.59099E-05,2.58553E-05,1.47199E-05,0.000116439,5.31086E-06,0.000195299,5.18745E-06,1.89622E-05,0.000114394
2.34,0.000644056,2.42237E-05,4.57428E-06,9.49035E-05,1.94435E-05,1.00579E-05,6.4028E-05,5.9082E-06,0.000137427,3.55638E-06,2.36225E-05,0.000140939
2.35,0.000365179,2.52448E-05,9.7131E-06,0.000113725,2.17631E-05,1.99226E-05,5.06899E-05,4.67254E-06,0.000135163,6.45224E-06,1.64129E-05,0.000129851
2.36,0.000280657,3.00193E-05,1.04567E-05,0.000100821,2.26943E-05,2.27263E-05,5.18709E-05,5.01775E-06,0.000334432,8.17138E-06,5.45479E-06,0.000266419
2.37,0.000208668,4.43641E-05,1.17373E-05,0.000109378,2.18537E-05,2.19207E-05,7.1827E-05,7.7331E-06,0.000343604,6.63169E-06,8.41642E-06,0.000292063
2.38,0.000118618,4.61451E-05,1.21514E-05,0.000151266,2.61095E-05,2.06103E-05,0.00019591,9.87897E-06,0.000203779,5.69406E-06,9.87631E-06,0.000228478
2.39,0.000138642,3.33211E-05,7.05822E-06,0.000131109,2.63647E-05,2.30573E-05,0.000190205,7.94518E-06,0.000186023,5.40872E-06,9.17812E-06,0.000208359
2.4,0.000130915,3.0826E-05,5.11838E-06,9.96244E-05,2.70343E-05,2.91156E-05,5.48976E-05,5.95048E-06,0.000201658,5.45218E-06,1.2978E-05,0.000164184
2.41,0.000174016,4.16238E-05,5.74615E-06,0.000103114,2.59141E-05,2.35958E-05,5.6973E-05,8.308E-06,0.000197998,5.65077E-06,1.21725E-05,0.000140734
2.42,0.000340267,4.06992E-05,6.37625E-06,0.000123861,2.37426E-05,1.58873E-05,0.000197063,1.12898E-05,0.000172301,6.10935E-06,8.38779E-06,9.12508E-05
2.43,0.000451878,2.35216E-05,5.81573E-06,0.000120699,2.50898E-05,1.44828E-05,0.00021763,1.03573E-05,0.000157348,5.65939E-06,9.32335E-06,0.000261075
2.44,0.000345745,2.02653E-05,4.4925E-06,0.000100666,2.58857E-05,1.65302E-05,0.000112739,7.15476E-06,0.000125243,5.60505E-06,8.3548E-06,0.00025932
2.45,0.000161037,3.62618E-05,5.06944E-06,0.000110823,2.37381E-05,2.56029E-05,9.25458E-05,5.86861E-06,0.000129107,6.62807E-06,8.82171E-06,9.79234E-05
2.46,0.000313415,4.95976E-05,5.56112E-06,9.19731E-05,2.5451E-05,2.54138E-05,9.65218E-05,5.2158E-06,0.000201702,5.90818E-06,1.85475E-05,0.000103272
2.47,0.000412755,5.59156E-05,9.73574E-06,8.06409E-05,2.69125E-05,1.46429E-05,0.0001311,5.67031E-06,0.000219043,6.44934E-06,3.00054E-05,0.000142212
2.48,0.000320818,6.19065E-05,1.12169E-05,8.94013E-05,2.4026E-05,1.03408E-05,0.000153893,4.8353E-06,0.000153182,5.99907E-06,2.70176E-05,0.000171282
2.49,0.000155382,4.82409E-05,8.74947E-06,0.000172323,1.75584E-05,9.48184E-06,0.000102119,4.72008E-06,0.000155441,4.6492E-06,1.28772E-05,0.000203312
2.5,0.00042882,2.31496E-05,1.53065E-05,0.000194258,1.58515E-05,8.07138E-06,0.000103025,4.3058E-06,0.000223601,8.63375E-06,1.33909E-05,0.00019885
2.51,0.000576922,2.1841E-05,1.50784E-05,0.000155783,2.02016E-05,1.92854E-05,0.000105477,6.93109E-06,0.000212593,1.13733E-05,1.24621E-05,0.000175501
2.52,0.000499766,2.43999E-05,6.84394E-06,0.000120744,1.95162E-05,2.69131E-05,5.49859E-05,6.72532E-06,0.000166166,1.2854E-05,8.34925E-06,0.000151455
2.53,0.000489377,6.0738E-05,6.10151E-06,8.12771E-05,2.17586E-05,2.03079E-05,0.000133105,4.11896E-06,0.000157645,1.05694E-05,1.38238E-05,0.000113024
2.54,0.000399239,9.97245E-05,5.71764E-06,7.97467E-05,2.40206E-05,8.9278E-06,0.000138378,3.63419E-06,0.000208773,4.8173E-06,2.28311E-05,0.000242387
2.55,0.000243959,9.22983E-05,5.59215E-06,9.50035E-05,2.39502E-05,1.68806E-05,6.76787E-05,4.62432E-06,0.000284637,4.65796E-06,2.28774E-05,0.000239638
2.56,0.000233189,5.02425E-05,5.30972E-06,8.79219E-05,2.30371E-05,2.29756E-05,5.50123E-05,6.35904E-06,0.000271831,5.85869E-06,1.47711E-05,0.000117875
2.57,0.000248969,3.01254E-05,5.00266E-06,9.73587E-05,2.4503E-05,2.75951E-05,5.53225E-05,7.07708E-06,0.000231551,7.09888E-06,1.27741E-05,8.90321E-05
2.58,0.000282592,2.33792E-05,9.97147E-06,0.000102642,2.82714E-05,2.66252E-05,6.23601E-05,6.10645E-06,0.000201713,6.17644E-06,1.59839E-05,0.000198494
2.59,0.00017991,3.47345E-05,1.2304E-05,0.000150764,2.96321E-05,1.68337E-05,5.04117E-05,5.9338E-06,0.000154407,4.66765E-06,2.02104E-05,0.000258208
2.6,0.00010736,0.000127425,9.09501E-06,0.000185689,2.78294E-05,9.73065E-06,3.4325E-05,9.13421E-06,0.000143099,5.02931E-06,1.91637E-05,0.000208752
2.61,8.94711E-05,0.000138239,1.22558E-05,0.000237424,2.66871E-05,9.42901E-06,9.26212E-05,8.40389E-06,0.000237329,4.11797E-06,1.39739E-05,0.000122084
2.62,9.78572E-05,7.00517E-05,1.20281E-05,0.000213657,2.58579E-05,9.95761E-06,0.000238874,4.57592E-06,0.000253342,5.26903E-06,1.05726E-05,0.000301903
2.63,0.000121302,4.32218E-05,8.17256E-06,0.000125521,2.44879E-05,1.74946E-05,0.000231798,6.59074E-06,0.000177488,6.59907E-06,9.0914E-06,0.000344036
2.64,0.000119517,6.39129E-05,8.18582E-06,0.000121423,2.26774E-05,2.1428E-05,8.38372E-05,7.71071E-06,0.000324032,6.22048E-06,1.11385E-05,0.000213049
2.65,9.3008E-05,6.14062E-05,8.76736E-06,0.000102187,2.26489E-05,1.56303E-05,6.70533E-05,6.59295E-06,0.000327375,5.66125E-06,1.09042E-05,0.000192028
2.66,0.000201181,3.89005E-05,8.9014E-06,0.000135565,2.38448E-05,1.13538E-05,5.89138E-05,4.68033E-05,0.000161796,6.32336E-06,1.48083E-05,0.000211639
2.67,0.00027863,9.2364E-05,1.53027E-05,0.000116863,2.36732E-05,1.28563E-05,5.99181E-05,4.75201E-05,0.000383448,6.86012E-06,1.77465E-05,0.000169107
2.68,0.000213103,0.000234545,1.51284E-05,7.59277E-05,2.19633E-05,1.02668E-05,9.46773E-05,1.73473E-05,0.000387223,5.55543E-06,1.35934E-05,0.000148387
2.69,0.000116354,0.000232411,6.38015E-06,6.81693E-05,1.95397E-05,1.23363E-05,0.000164376,1.5233E-05,0.00016646,4.64047E-06,9.88444E-06,0.000140877
2.7,0.000397352,0.000136139,8.34156E-06,6.71231E-05,2.0485E-05,1.3066E-05,0.000236867,1.05124E-05,0.000142284,5.26487E-06,9.6829E-06,8.84981E-05
2.71,0.00050193,0.00012421,1.13472E-05,7.39529E-05,1.98483E-05,1.23559E-05,0.000204779,1.12976E-05,0.000179604,9.09541E-06,9.3592E-06,0.000135162
2.72,0.000328297,9.92627E-05,1.14475E-05,0.000239515,2.18735E-05,1.36452E-05,8.13691E-05,8.52661E-06,0.000183616,8.96579E-06,1.07645E-05,0.00020514
2.73,0.000251153,9.30741E-05,7.44569E-06,0.000253096,2.40542E-05,1.37614E-05,7.99491E-05,7.01315E-06,0.000189065,8.56271E-06,1.06478E-05,0.000181999
2.74,0.00030212,0.000103041,5.0729E-06,0.000129012,2.27236E-05,1.53495E-05,8.32256E-05,4.55219E-06,0.000202556,1.35766E-05,1.46232E-05,0.000278103
2.75,0.000242995,0.000107669,5.51041E-06,0.000110057,2.49901E-05,1.51402E-05,0.000189267,3.99939E-06,0.000172824,1.32748E-05,1.897E-05,0.000295314
2.76,0.00018488,7.60314E-05,5.57248E-06,8.97743E-05,2.60666E-05,1.25717E-05,0.000195051,4.69007E-06,0.000166625,8.49014E-06,1.40493E-05,0.000162631
