X [],R ILIOPSOAS: EMG 1->Filter->MAV->RMS [],L ILIOPSOAS: EMG 2->Filter->MAV->RMS [],R GLUTEUS MAXIMUS: EMG 4 (IM)->Filter->MAV->RMS [],L GLUTEUS MAXIMUS: EMG 5->Filter->MAV->RMS [],R RECTUS ABDOMINIS: EMG 6->Filter->MAV->RMS [],L RECTUS ABDOMINIS: EMG 7->Filter->MAV->RMS [],R ERECTOR SPINAE: EMG 8->Filter->MAV->RMS [],L ERECTOR SPINAE: EMG 9->Filter->MAV->RMS [],R RECTUS FEMORIS: EMG 10->Filter->MAV->RMS [],L RECTUS FEMORIS: EMG 11->Filter->MAV->RMS [],R BICEPS FEMORIS: EMG 12->Filter->MAV->RMS [],L BICEPS FEMORIS: EMG 13->Filter->MAV->RMS []
0.3,0.000153245,3.81491E-05,5.46393E-06,0.000141825,3.35156E-05,1.12974E-05,7.81279E-05,5.95823E-06,0.000199886,7.41158E-06,1.49867E-05,0.00011119
0.31,0.000155684,3.8448E-05,5.73577E-06,0.00014147,3.32446E-05,1.15807E-05,7.87644E-05,5.51996E-06,0.000206115,7.30441E-06,1.48674E-05,0.000117871
0.32,0.000148241,3.97918E-05,6.39975E-06,0.000140895,3.32519E-05,1.18549E-05,7.55055E-05,5.9042E-06,0.00021501,7.18054E-06,1.41326E-05,0.000120901
0.33,0.000148676,4.03759E-05,6.6801E-06,0.000141085,3.389E-05,1.14574E-05,7.43232E-05,5.66613E-06,0.000218745,6.98874E-06,1.31839E-05,0.000117067
0.34,0.000157258,4.01482E-05,7.07969E-06,0.000141366,3.40873E-05,1.08575E-05,7.63602E-05,5.46535E-06,0.000209731,7.72247E-06,1.39712E-05,0.000115906
0.35,0.000159703,3.72652E-05,6.87054E-06,0.000141473,3.33598E-05,1.10047E-05,7.87464E-05,5.55149E-06,0.000204825,7.89778E-06,1.45935E-05,0.000115908
0.36,0.000161513,3.56313E-05,6.03337E-06,0.000141071,3.25119E-05,1.15132E-05,7.75912E-05,5.05669E-06,0.000209229,7.31994E-06,1.24347E-05,0.00011318
0.37,0.000163143,3.68197E-05,6.35016E-06,0.000140865,3.26534E-05,1.16284E-05,7.45324E-05,6.03946E-06,0.00021791,7.01144E-06,1.16113E-05,0.000117431
0.38,0.000153238,3.57501E-05,6.88664E-06,0.000140863,3.34721E-05,1.14543E-05,7.49271E-05,6.3777E-06,0.000229447,7.2257E-06,1.22644E-05,0.000116443
0.39,0.000131834,3.59067E-05,6.74214E-06,0.00014101,3.36689E-05,1.1115E-05,7.64879E-05,6.14312E-06,0.000226086,7.81639E-06,1.31174E-05,0.000116047
0.4,0.00013362,3.95775E-05,6.52955E-06,0.000140651,3.36203E-05,1.13261E-05,7.52152E-05,6.06614E-06,0.000208328,8.19426E-06,1.42777E-05,0.000121244
0.41,0.00014189,4.12137E-05,6.15453E-06,0.000140677,3.38814E-05,1.14419E-05,7.45945E-05,5.92939E-06,0.000197787,7.46349E-06,1.47206E-05,0.000120071
0.42,0.00014494,4.05486E-05,6.6844E-06,0.000141301,3.38755E-05,1.091E-05,7.65773E-05,5.411E-06,0.000197876,7.17248E-06,1.37126E-05,0.000114854
0.43,0.000150765,3.9711E-05,6.63066E-06,0.000141156,3.37593E-05,1.07261E-05,6.72908E-05,4.93631E-06,0.000202077,7.93567E-06,1.30386E-05,0.000112817
