Time (s),RA/ES,IL/GMax,RF/BF,TAIO/MF
1.1000,7.549863,8.885688,1.841669,27.398093
1.1100,7.071215,8.681272,1.875774,31.937713
1.1200,6.636200,8.380891,1.839552,33.773089
1.1300,6.325205,8.029990,1.731484,34.299970
1.1400,6.553690,7.530605,1.636092,32.353906
1.1500,6.590426,7.668471,1.635768,41.180121
1.1600,6.612880,9.375623,1.588303,43.930459
1.1700,6.757537,11.332670,1.510492,46.328856
1.1800,6.192665,11.758002,1.475909,45.188182
1.1900,6.036872,11.210783,1.388517,40.973258
1.2000,6.242677,10.139614,1.368538,44.828833
1.2100,6.550451,10.360401,1.374819,41.848418
1.2200,6.475067,11.172243,1.462449,42.144063
1.2300,6.055069,11.840527,1.372277,42.725583
1.2400,6.688178,12.644525,1.431512,48.053592
1.2500,6.727459,12.414381,1.426928,45.146016
1.2600,6.757537,11.503086,1.422178,43.598221
1.2700,6.283501,9.608520,1.531882,41.986234
1.2800,6.188081,9.175460,1.501710,39.352748
1.2900,5.799572,9.188729,1.478364,36.727760
1.3000,6.511035,10.595467,1.467997,32.915868
1.3100,6.152023,10.288666,1.409824,24.239268
1.3200,5.901167,9.816431,1.290454,18.431542
1.3300,6.059042,9.266000,1.477172,17.337987
1.3400,5.806233,8.203690,1.453474,15.391886
1.3500,5.829710,8.581111,1.497594,14.134730
1.3600,6.063828,9.604625,1.634030,13.853275
1.3700,6.336204,9.895310,1.652842,14.166989
1.3800,6.284509,9.635740,1.609878,14.580419
1.3900,6.384707,9.672629,1.626967,12.571699
1.4000,5.341231,7.811798,1.670426,10.941008
1.4100,5.692115,7.979417,1.688197,12.635467
1.4200,6.065500,7.512720,1.697372,20.470264
1.4300,5.787800,9.433645,1.615586,28.243215
1.4400,6.042399,10.746209,1.589419,40.271243
1.4500,6.220723,11.738228,1.608648,48.696617
1.4600,5.943748,10.414177,1.514814,57.963444
1.4700,5.639749,10.348755,1.598399,52.334713
1.4800,5.943748,10.114918,1.736157,54.753609
1.4900,5.964986,10.394000,1.746078,59.867286
1.5000,6.012697,10.407157,1.882595,61.434493
1.5100,5.701995,10.971506,3.008059,63.739597
1.5200,5.105695,11.557082,3.523193,66.910377
1.5300,4.947137,9.482414,3.640174,63.729865
1.5400,4.219975,7.965880,3.858735,54.780101
1.5500,4.553207,6.155494,3.939126,53.389968
1.5600,5.336865,6.605169,3.598791,53.867704
1.5700,6.094279,6.882136,4.014614,69.216215
1.5800,6.254910,8.055492,3.478470,73.618551
1.5900,6.437987,7.916511,3.613056,77.519183
1.6000,6.596868,8.422802,3.627660,79.969048
1.6100,7.031756,8.161775,3.164387,81.403067
1.6200,7.040729,8.144759,3.051740,65.691133
1.6300,7.377224,8.110108,3.030715,54.368929
1.6400,7.588464,8.456452,2.937000,51.632985
1.6500,7.103317,8.856865,2.999629,45.957339
1.6600,6.373362,8.756151,2.852922,45.088794
1.6700,5.325538,8.307222,2.643198,40.276536
1.6800,4.930645,7.414246,2.885156,31.901532
1.6900,4.851053,7.044336,2.683477,28.175150
1.7000,4.589452,6.476482,2.669015,25.527748
1.7100,3.905917,6.171681,2.672978,22.587673
1.7200,3.835359,5.818891,2.390738,22.157143
1.7300,3.357976,7.446501,2.349928,25.327475
1.7400,3.188071,8.255488,2.362414,27.094365
1.7500,3.191340,7.812411,2.312449,34.530579
1.7600,2.996905,7.666584,2.505639,36.579000
1.7700,2.900449,7.503009,2.863314,34.308263
1.7800,2.754919,7.221479,2.983027,36.261196
1.7900,3.905459,7.327031,3.108610,33.347621
1.8000,4.610015,9.123766,3.008378,27.929955
1.8100,4.608697,10.488412,2.951586,27.419412
1.8200,5.174512,10.647955,3.225121,31.698759
1.8300,5.272474,9.789648,2.980809,30.025635
1.8400,5.643775,8.956050,3.075314,29.146264
1.8500,5.639826,9.061530,3.145207,28.510051
1.8600,6.075285,9.449951,3.098589,26.954881
1.8700,6.157109,9.973877,2.869338,31.085856
1.8800,6.123682,11.450604,2.514336,28.717642
1.8900,6.757537,11.466056,2.167561,27.151056
1.9000,7.163187,9.670040,2.067283,25.020875
1.9100,8.236997,7.974006,1.946834,20.007270
1.9200,8.705656,7.749456,2.084310,14.384492
1.9300,8.536359,8.441308,2.192715,19.124230
1.9400,8.442162,8.944092,2.021852,18.010698
1.9500,8.052882,9.091928,1.934392,17.277097
1.9600,7.900159,9.531781,1.890983,17.473891
1.9700,7.900159,9.036203,1.760548,16.706575
1.9800,7.924177,8.222598,1.669439,17.176899
1.9900,6.928728,9.387175,2.045514,16.966818
2.0000,6.158301,9.466809,2.320583,17.949069
2.0100,5.141811,9.695417,2.815834,19.990091
2.0200,3.910408,10.240365,2.757612,27.330795
2.0300,3.703234,10.086110,2.791765,18.367829
2.0400,3.535400,10.058988,2.748811,26.111940
2.0500,3.304510,10.580804,2.442854,30.154546
2.0600,3.519160,9.532375,2.058336,33.689954
2.0700,3.369853,9.693616,2.399016,33.212397
2.0800,3.280771,9.613586,2.687532,32.095140
2.0900,3.252010,8.296723,2.580255,35.901117
2.1000,3.279921,7.947337,2.496629,36.775844
2.1100,3.255584,7.113341,2.272572,36.240763
2.1200,3.568795,6.649189,2.128979,37.784967
2.1300,3.397131,6.367549,2.087555,34.795960
2.1400,3.588547,6.147620,2.111408,31.543291
2.1500,3.611646,5.440323,2.228420,28.847979
2.1600,3.667925,5.648968,2.882152,25.371737
2.1700,3.743722,5.467231,2.647272,24.846442
2.1800,3.875407,5.274542,2.008860,23.920929
2.1900,3.841557,5.636289,1.874261,26.798937
2.2000,3.825781,6.497133,1.813914,32.985387
2.2100,3.796098,7.283342,1.845453,32.747109
2.2200,3.544214,7.359822,2.049953,31.664794
2.2300,3.530832,7.597447,2.067180,31.603965
2.2400,3.100340,7.661057,2.041145,31.020926
2.2500,3.026984,8.880095,1.997624,32.687157
2.2600,2.678819,9.073911,1.581660,34.519482
2.2700,2.695680,9.242328,1.736089,35.104889
2.2800,2.597014,9.108573,1.918607,35.896086
2.2900,2.547206,8.589068,2.086799,32.811567
2.3000,2.500370,7.823269,2.151369,28.822205
2.3100,2.492534,7.809976,2.163267,28.997460
2.3200,2.764039,7.607149,2.109183,27.241279
2.3300,2.846715,7.462195,2.076342,27.676568
2.3400,3.063295,7.286188,1.890608,28.587930
2.3500,3.274074,6.427393,1.928143,24.689415
2.3600,3.167326,6.143098,2.151245,14.725253
2.3700,3.097535,6.625173,1.920703,13.975087
2.3800,3.173746,7.720651,2.006036,14.823161
2.3900,3.174242,8.226549,2.073317,17.003576
2.4000,3.294631,7.784046,1.836553,17.312574
2.4100,3.164810,8.617585,1.683346,18.550966
2.4200,2.861733,9.145787,1.616460,8.527481
2.4300,2.801425,9.284143,1.516209,7.473111
2.4400,2.830515,9.433481,1.653440,7.072765
2.4500,2.765585,9.619461,1.555187,7.072765
2.4600,2.825294,9.808943,1.555187,9.270229
2.4700,3.089549,9.428377,1.551726,10.263018
2.4800,3.128740,8.404414,1.106429,9.781969
2.4900,3.358697,7.775411,0.918966,9.382801
2.5000,3.505890,8.522685,0.886172,9.466110
2.5100,4.305261,6.681436,0.870071,8.990650
2.5200,4.887343,7.223359,0.876514,12.871445
2.5300,6.072526,6.410780,0.881585,17.553463
2.5400,6.418664,6.835145,0.860699,19.003108
2.5500,6.799379,7.154150,0.868435,19.212308
2.5600,6.613978,7.095207,0.905674,17.313452
2.5700,5.978930,7.016205,0.934170,16.254493
2.5800,5.991618,7.173118,1.080566,16.886545
2.5900,5.876979,7.293752,1.171254,17.754853
2.6000,5.521172,6.993551,1.449863,17.926824
2.6100,3.892665,7.433545,1.772871,20.023714
2.6200,2.832669,6.861434,1.832899,20.241282
2.6300,2.186985,7.888194,1.708475,17.186274
2.6400,1.979840,8.133822,1.261469,18.189021
