Time (s),Gait Cycle (%),RA/ES,IL/GMax,RF/BF,TAIO/MF,RA/GMax,RA/MF,IL/ES,IL/BF,IL/MF,RF/GMax,TAIO/ES,TAIO/GMax
10.2400,18.15,0.079630,0.084059,0.052572,0.122479,0.071405,0.063060,0.061746,0.280779,0.130445,0.068710,0.059312,0.080039
10.2500,18.61,0.081599,0.084350,0.053411,0.123068,0.072708,0.064261,0.061075,0.277557,0.130021,0.069755,0.058987,0.080811
10.2600,19.08,0.088386,0.084861,0.054114,0.122685,0.078109,0.068885,0.060661,0.280478,0.130041,0.070801,0.058482,0.081086
10.2700,19.54,0.092162,0.085237,0.055007,0.116877,0.081024,0.071472,0.060404,0.280201,0.129596,0.072030,0.056655,0.078641
10.2800,20.01,0.092329,0.085305,0.057553,0.117163,0.081224,0.071547,0.060557,0.292607,0.130361,0.076449,0.056682,0.078511
10.2900,20.47,0.092878,0.085374,0.054655,0.117163,0.081624,0.071880,0.060482,0.368112,0.130495,0.077945,0.056581,0.078511
10.3000,20.94,0.092639,0.085582,0.054443,0.117622,0.081424,0.071744,0.060601,0.358910,0.130688,0.077945,0.056768,0.078840
10.3100,21.41,0.094558,0.085831,0.054137,0.118707,0.083030,0.073081,0.060742,0.343510,0.131170,0.078321,0.057086,0.079400
10.3200,21.87,0.096980,0.086013,0.053623,0.118524,0.085057,0.074798,0.060846,0.332170,0.131307,0.078133,0.057086,0.079400
10.3300,22.34,0.097018,0.085252,0.053460,0.118666,0.086368,0.075646,0.061002,0.327714,0.131449,0.078387,0.057231,0.078742
10.3400,22.80,0.096462,0.085362,0.053382,0.118808,0.087813,0.076840,0.061066,0.323980,0.131664,0.078387,0.057273,0.078814
10.3500,23.27,0.093240,0.085621,0.053356,0.119098,0.097126,0.084511,0.061216,0.318086,0.132174,0.078387,0.057359,0.078962
10.3600,23.73,0.087839,0.084931,0.053330,0.119245,0.117422,0.101089,0.060816,0.332483,0.130818,0.078387,0.057402,0.079036
10.3700,24.20,0.085554,0.084551,0.053537,0.119098,0.127641,0.110024,0.060596,0.341200,0.130071,0.078765,0.057359,0.078962
10.3800,24.66,0.084158,0.084483,0.053537,0.118808,0.125232,0.116222,0.060557,0.342794,0.129938,0.078765,0.057273,0.078814
10.3900,25.13,0.081926,0.084184,0.060374,0.118707,0.121378,0.127496,0.060383,0.350009,0.129561,0.091467,0.057190,0.078670
10.4000,25.59,0.081812,0.083957,0.088643,0.118291,0.121182,0.128127,0.060252,0.355664,0.129115,0.121873,0.057067,0.078458
10.4100,26.06,0.081550,0.083862,0.095065,0.118611,0.120729,0.129533,0.060197,0.358100,0.129136,0.118617,0.057107,0.078528
10.4200,26.52,0.081513,0.083705,0.132950,0.118155,0.120664,0.129816,0.060106,0.362174,0.128618,0.105637,0.057027,0.078389
10.4300,26.99,0.081144,0.083642,0.143623,0.118201,0.119720,0.132935,0.060182,0.363283,0.128703,0.103147,0.057089,0.078320
10.4400,27.45,0.080788,0.083642,0.163182,0.118336,0.119107,0.135081,0.060182,0.363283,0.128703,0.099436,0.057129,0.078389
10.4500,27.92,0.080682,0.082715,0.188292,0.118518,0.117571,0.135651,0.060110,0.367088,0.128666,0.094782,0.057129,0.077664
10.4600,28.39,0.080508,0.082775,0.205114,0.118115,0.117276,0.136731,0.060146,0.365447,0.128788,0.092822,0.057011,0.077463
10.4700,28.85,0.080133,0.082130,0.228914,0.117983,0.116639,0.139119,0.059765,0.383672,0.127492,0.090513,0.056972,0.077398
10.4800,29.32,0.080146,0.081369,0.237067,0.117903,0.116073,0.141226,0.059535,0.407409,0.126162,0.089821,0.057100,0.077268
10.4900,29.78,0.079364,0.080595,0.246695,0.118263,0.114183,0.148816,0.059291,0.433725,0.124997,0.089037,0.057303,0.077268
10.5000,30.25,0.078816,0.080244,0.260158,0.118314,0.112424,0.156654,0.059404,0.447023,0.124481,0.088061,0.057571,0.077205
10.5100,30.71,0.079027,0.079374,0.261860,0.118238,0.111943,0.158857,0.059198,0.483333,0.122908,0.087945,0.057801,0.077079
10.5200,31.18,0.078740,0.078875,0.263567,0.118112,0.111472,0.161166,0.058894,0.506654,0.121892,0.087829,0.057763,0.077017
10.5300,31.64,0.077973,0.077663,0.263900,0.117918,0.109676,0.170448,0.058362,0.539797,0.119609,0.087829,0.057854,0.076834
10.5400,32.11,0.078588,0.076517,0.264572,0.117377,0.107616,0.175330,0.058816,0.526464,0.118552,0.086947,0.058454,0.075949
10.5500,32.57,0.078978,0.074472,0.264572,0.117613,0.104816,0.177525,0.058816,0.514534,0.117588,0.085191,0.058823,0.074484
10.5600,33.04,0.085621,0.073170,0.264572,0.118261,0.103247,0.179401,0.062651,0.502734,0.117148,0.084318,0.063036,0.073675
10.5700,33.50,0.104374,0.072779,0.264911,0.118149,0.102507,0.182533,0.073870,0.492616,0.116628,0.084318,0.074574,0.073465
10.5800,33.97,0.176592,0.071881,0.272546,0.117859,0.100639,0.180620,0.113870,0.483569,0.115973,0.083031,0.115700,0.072720
10.5900,34.43,0.176932,0.070614,0.289623,0.116172,0.099155,0.176923,0.139769,0.464978,0.113123,0.081301,0.144087,0.071978
10.6000,34.90,0.164020,0.070344,0.294451,0.124401,0.098824,0.189576,0.177876,0.452956,0.120547,0.081117,0.185116,0.071881
10.6100,35.37,0.154666,0.068169,0.300584,0.154065,0.096566,0.173313,0.208736,0.415113,0.148635,0.079352,0.218096,0.069605
10.6200,35.83,0.155017,0.067320,0.297109,0.177993,0.095136,0.166627,0.214034,0.427918,0.170876,0.078519,0.224221,0.068782
10.6300,36.30,0.163573,0.067254,0.293126,0.187738,0.093664,0.173662,0.216245,0.466914,0.179652,0.078349,0.227099,0.068782
10.6400,36.76,0.165477,0.066366,0.297628,0.198093,0.091765,0.176694,0.230482,0.446479,0.187448,0.077439,0.245248,0.068191
10.6500,37.23,0.165457,0.068031,0.296443,0.210030,0.094447,0.177238,0.246165,0.447575,0.197102,0.079924,0.264527,0.070157
10.6600,37.69,0.166388,0.068606,0.302434,0.234820,0.094984,0.174919,0.259428,0.452527,0.219308,0.080412,0.279603,0.070788
10.6700,38.16,0.164075,0.067856,0.318881,0.258002,0.093656,0.171841,0.282194,0.496206,0.239724,0.078479,0.305732,0.070040
10.6800,38.62,0.186720,0.063513,0.355095,0.279953,0.082727,0.200576,0.334443,0.517133,0.260163,0.071546,0.363471,0.065365
10.6900,39.09,0.192663,0.087299,0.360733,0.287934,0.119450,0.209959,0.362892,0.594026,0.267729,0.100504,0.394934,0.090476
10.7000,39.55,0.217122,0.135775,0.372779,0.293659,0.197227,0.237440,0.367133,0.621325,0.271586,0.163040,0.402026,0.142983
10.7100,40.02,0.263269,0.157308,0.413649,0.290281,0.221413,0.292029,0.370918,0.624096,0.269016,0.187492,0.405573,0.166308
10.7200,40.48,0.271023,0.163506,0.506019,0.318349,0.230459,0.293847,0.376056,0.627800,0.291778,0.187507,0.415085,0.174056
10.7300,40.95,0.280427,0.198054,0.513167,0.362735,0.286851,0.300416,0.406621,0.628551,0.325572,0.232160,0.458551,0.215052
10.7400,41.41,0.283795,0.241442,0.591820,0.383904,0.340306,0.303523,0.412083,0.614899,0.331701,0.285704,0.484714,0.273116
10.7500,41.88,0.293332,0.262138,0.602592,0.410312,0.342500,0.309543,0.415693,0.627046,0.349319,0.312876,0.495172,0.301045
10.7600,42.35,0.309360,0.305106,0.599999,0.447042,0.346675,0.323841,0.432138,0.633561,0.372624,0.373028,0.525333,0.359680
10.7700,42.81,0.316395,0.353078,0.608489,0.496795,0.343234,0.334515,0.457416,0.619363,0.381616,0.448141,0.609297,0.455172
10.7800,43.28,0.329316,0.407912,0.595602,0.512777,0.345212,0.347433,0.476071,0.661293,0.399839,0.535355,0.623541,0.524388
10.7900,43.74,0.327575,0.450262,0.627462,0.573801,0.339389,0.340073,0.508211,0.588269,0.447287,0.602123,0.661792,0.578065
10.8000,44.21,0.334903,0.467622,0.653215,0.562135,0.345108,0.349398,0.518271,0.594248,0.449032,0.640782,0.659264,0.588049
10.8100,44.67,0.341760,0.485666,0.662588,0.595186,0.351596,0.351826,0.535574,0.571794,0.484603,0.685483,0.664595,0.596626
10.8200,45.14,0.352012,0.489729,0.656390,0.591657,0.361278,0.360717,0.535015,0.634308,0.492260,0.700917,0.648153,0.588328
10.8300,45.60,0.361227,0.466585,0.672874,0.559419,0.373794,0.370482,0.522023,0.652237,0.480066,0.690741,0.612743,0.542384
10.8400,46.07,0.363447,0.479304,0.686546,0.556825,0.373446,0.372399,0.524220,0.647949,0.483658,0.714864,0.607467,0.551412
10.8500,46.53,0.399169,0.478558,0.681002,0.565041,0.410769,0.406727,0.523834,0.684223,0.493449,0.723690,0.602677,0.546676
10.8600,47.00,0.427383,0.478380,0.665815,0.552057,0.444778,0.438895,0.540852,0.746296,0.497885,0.725911,0.602773,0.529141
