Time (s),Gait Cycle (%),RA/ES,IL/GMax,RF/BF,TAIO/MF,RA/GMax,RA/MF,IL/ES,IL/BF,IL/MF,RF/GMax,TAIO/ES,TAIO/GMax
11.7900,90.27,1.589021,0.656361,0.817262,0.318477,0.867691,0.375834,1.096335,3.833800,0.317038,1.002454,1.108394,0.661533
11.8000,90.74,1.596110,0.906791,0.782074,0.333585,1.268993,0.395136,1.100695,4.730349,0.331305,1.194778,1.118390,0.919728
11.8100,91.21,1.589021,0.988053,0.777924,0.338951,1.395952,0.399794,1.102553,4.521713,0.335694,1.169892,1.127273,1.008781
11.8200,91.67,1.545361,1.037794,0.773402,0.344454,1.406562,0.396724,1.125634,4.232097,0.341210,1.152750,1.150160,1.059342
11.8300,92.14,1.455746,1.063948,0.772202,0.346142,1.400075,0.391840,1.100863,4.160433,0.342772,1.147026,1.125231,1.087028
11.8400,92.60,1.384848,1.066994,0.776639,0.349610,1.368649,0.387252,1.078155,4.093878,0.343217,1.155133,1.122679,1.110786
11.8500,93.07,1.380552,1.082884,0.781344,0.351906,1.364424,0.386635,1.094311,3.766153,0.345537,1.165301,1.138668,1.126513
11.8600,93.53,1.317080,1.085495,0.790669,0.352252,1.356157,0.385429,1.057398,3.723156,0.345918,1.181650,1.099031,1.128888
11.8700,94.00,0.933027,1.095058,0.792464,0.353690,1.372399,0.386028,0.774198,3.702499,0.346046,1.182412,0.804563,1.148081
11.8800,94.46,0.887336,1.095506,0.795808,0.354117,1.372399,0.384312,0.740150,3.694574,0.344687,1.188553,0.775179,1.161405
11.8900,94.93,0.877081,1.095506,0.833958,0.354516,1.376615,0.384915,0.730767,3.694574,0.344687,1.259101,0.766517,1.164192
11.9000,95.39,0.866202,1.100524,0.845267,0.359844,1.376615,0.390082,0.725148,3.607866,0.349696,1.280183,0.760592,1.169898
11.9100,95.86,0.871503,1.100988,0.847534,0.364180,1.380894,0.394173,0.727736,3.600025,0.352631,1.284417,0.767702,1.178800
11.9200,96.32,0.869945,1.107161,0.849802,0.366528,1.380894,0.394173,0.729722,3.498744,0.353547,1.288658,0.774527,1.194625
11.9300,96.79,0.870607,1.112585,0.853207,0.370166,1.385236,0.394818,0.731310,3.413976,0.354352,1.295030,0.785745,1.219133
11.9400,97.25,0.869724,1.125627,0.856616,0.371289,1.402044,0.395472,0.730997,3.352862,0.354956,1.297654,0.786922,1.237059
11.9500,97.72,0.870426,1.129853,0.858250,0.371471,1.406575,0.394388,0.731917,3.296227,0.354120,1.299777,0.791599,1.249089
11.9600,98.19,0.867286,1.122951,0.854836,0.373321,1.394119,0.394388,0.730592,3.266013,0.354433,1.297157,0.795213,1.251143
11.9700,98.65,0.863285,1.124566,0.853699,0.373962,1.398661,0.395058,0.726596,3.243426,0.354671,1.295030,0.791887,1.255490
11.9800,99.12,0.853880,1.135293,0.852563,0.376219,1.411174,0.396810,0.720199,3.220903,0.356372,1.289176,0.785809,1.270695
11.9900,99.58,0.853880,1.147238,0.836692,0.381043,1.423734,0.402082,0.721550,3.183507,0.361181,1.256125,0.785809,1.281505
